"japanese","chinese","romaji","gender"
"南部敦子","南部敦子","Atsuko Nambu",""
"古川雄輝","古川雄辉","Yuki Furukawa",""
"土屋嘉男","土屋嘉男","Yoshio Tsuchiya",""
"地井武男","地井武男","Takeo Chii",""
"堀口大學","堀口大学","Daigaku Horiguchi",""
"奈良くるみ","奈良久留美","Kurumi Nara",""
"宇田幸矢","宇田幸矢","Yukiya Uda",""
"山口二矢","山口二矢","Otoya Yamaguchi",""
"平聡","平聪","Satoshi Taira",""
"影山優佳","影山优佳","Yūka Kageyama",""
"木村良平","木村良平","Ryōhei Kimura",""
"松井愛莉","松井爱莉","Airi Matsui",""
"松山基範","松山基范","Motonori Matuyama",""
"森山良子","森山良子","Ryoko Moriyama",""
"洪一峰","洪一峰","Ang It-hong",""
"浅野哲也","浅野哲也","Tetsuya Asano",""
"渡邉千真","渡边千真","Kazuma Watanabe",""
"福田雅之助","福田雅之助","Masanosuke Fukuda",""
"荒勝文策","荒胜文策","Bunsaku Arakatsu",""
"虎の尾を踏む男達","踏虎尾的男人","The Men Who Tread on the Tiger's Tail",""
"11人もいる!","还有第11人！","Jūichinin mo Iru!",""
"酒井法子","酒井法子","Noriko Sakai",""
"風林火山 (NHK大河ドラマ)","风林火山 (大河剧)","Fūrin Kazan (TV series)",""
"高畑淳子","高畑淳子","Atsuko Takahata",""
"鶴保庸介","鹤保庸介","Yōsuke Tsuruho",""
"黒崎真音","黑崎真音","Maon Kurosaki",""
"Reina (歌手)","Reina (歌手)","Reina Miyauchi",""
"一青妙","一青妙","Tae Hitoto",""
"三原葉子","三原叶子","Yōko Mihara",""
"中山みき","中山美伎","Nakayama Miki",""
"乃木坂46","乃木坂46","Nogizaka46",""
"井上治 (陸上選手)","井上治","Osamu Inoue",""
"吉川守","吉川守","Mamoru Yoshikawa",""
"喜田陽","喜田阳","Hinata Kida",""
"円地文子","圆地文子","Fumiko Enchi",""
"堀ちえみ","堀智荣美","Chiemi Hori",""
"堀越信司","堀越信司","Tadashi Horikoshi",""
"宇野治","宇野治","Osamu Uno",""
"富田美憂","富田美忧","Miyu Tomita",""
"小宮正江","小宫正江","Masae Komiya",""
"イッセー尾形","尾形一成","Issey Ogata",""
"山本裕典","山本裕典","Yusuke Yamamoto",""
"岸本幸子","岸本幸子","Sachiko Kishimoto",""
"平成研究会","平成研究会","Heisei Kenkyūkai",""
"広田佐枝子","广田佐枝子","Saeko Hirota",""
"曽ヶ端準","曾端准","Hitoshi Sogahata",""
"本井えみ","本井英美","Emi Motoi",""
"松村任三","松村任三","Jinzō Matsumura",""
"森英介","森英介","Eisuke Mori",""
"楠本正隆","楠本正隆","Kusumoto Masataka",""
"湯屋敦子","汤屋敦子","Atsuko Yuya",""
"満田かずほ","满田穧","Kazuho Mitsuta",""
"當真あみ","当真Ami","Ami Touma",""
"福島萬治","福岛万治","Manji Fukushima",""
"綾辻行人","绫辻行人","Yukito Ayatsuji",""
"藤森良文","藤森良文","Yoshifumi Fujimori",""
"野々村芳和","野野村芳和","Yoshikazu Nonomura",""
"金子久","金子久","Hisashi Kaneko",""
"鉢呂吉雄","钵吕吉雄","Yoshio Hachiro",""
"国頭正弥","马瑞彩","Kunigami Seiya",""
"高島礼子","高岛礼子","Reiko Takashima",""
"Template:千葉県知事","Template:千叶县知事","Template:Governors of Chiba Prefecture",""
"三好義継","三好义继","Miyoshi Yoshitsugu",""
"与謝野馨","与谢野馨","Kaoru Yosano",""
"今野泰幸","今野泰幸","Yasuyuki Konno",""
"千九百三十年「ロンドン」海軍条約","伦敦海军条约","London Naval Treaty",""
"国土交通大臣","国土交通大臣","Minister of Land, Infrastructure, Transport and Tourism",""
"大蔵卿局","大藏卿局","Ōkurakyō no Tsubone",""
"指原莉乃","指原莉乃","Rino Sashihara",""
"高度経済成長","日本战后经济奇迹","Japanese economic miracle",""
"昌子源","昌子源","Gen Shoji",""
"木下杢太郎","木下杢太郎","Mokutarō Kinoshita",""
"木村佳乃","木村佳乃","Yoshino Kimura",""
"森有礼","森有礼","Mori Arinori",""
"毛利季光","毛利季光","Mōri Suemitsu",""
"清水美砂","清水美沙","Misa Shimizu",""
"渡海紀三朗","渡海纪三朗","Kisaburo Tokai",""
"矢野貴章","矢野贵章","Kisho Yano",""
"紗綾","纱绫","Saaya Irie",""
"織田信孝","织田信孝","Oda Nobutaka",""
"西脇順三郎","西脇顺三郎","Junzaburō Nishiwaki",""
"谷川禎次郎","谷川祯次郎","Teijiro Tanikawa",""
"賀屋興宣","贺屋兴宣","Okinori Kaya",""
"野坂昭如","野坂昭如","Akiyuki Nosaka",""
"野田洋次郎","野田洋次郎","Yojiro Noda",""
"鈴木杏","铃木杏","Anne Suzuki",""
"長岡半太郎","长冈半太郎","Hantaro Nagaoka",""
"関根信昭","关根信昭","Nobuaki Sekine",""
"高橋英辰","高桥英辰","Hidetoki Takahashi",""
"みかみてれん","三上弓怜","Teren Mikami",""
"久川綾","久川绫","Aya Hisakawa",""
"井上円了","井上圆了","Inoue Enryō",""
"信藤健仁","信藤健仁","Katsuyoshi Shinto",""
"信貴山城の戦い","信贵山城之战","Siege of Shigisan",""
"圆尾智彦","圆尾智彦","Tomohiko Maruo",""
"大場健史","大场健史","Kenji Oba",""
"安住淳","安住淳","Jun Azumi",""
"安部裕葵","安部裕葵","Hiroki Abe",""
"男はつらいよ 寅次郎紅の花","寅次郎的故事48 寅次郎红之花","Tora-san to the Rescue",""
"小山剛志","小山刚志","Tsuyoshi Koyama",""
"小野卓志","小野卓志","Takashi Ono (judoka)",""
"工藤孝一","工藤孝一","Koichi Kudo",""
"日本民主党","日本民主党 (1954年)","Japan Democratic Party",""
"早川雪洲","早川雪洲","Sessue Hayakawa",""
"有本彦六","有本彦六","Hikoroku Arimoto",""
"東門美津子","东门美津子","Mitsuko Tomon",""
"松本若菜","松本若菜","Wakana Matsumoto",""
"永井葉月","永井叶月","Hazuki Nagai",""
"海街diary (映画)","海街日记 (电影)","Our Little Sister",""
"田名部生来","田名部生来","Miku Tanabe",""
"田川亨介","田川亨介","Kyosuke Tagawa",""
"白石一文","白石一文","Kazufumi Shiraishi",""
"第2次海部内閣","第二次海部内阁","Second Kaifu cabinet",""
"茂木优","茂木优","Masaru Motegi",""
"菅生隆之","菅生隆之","Takayuki Sugō",""
