"japanese","chinese","romaji","gender"
"久保亮五","久保亮五","Ryogo Kubo",""
"九条道前","九条道前","Kujō Michisaki",""
"伊藤左千夫","伊藤左千夫","Itō Sachio",""
"佐々木等","佐佐木等","Hitoshi Sasaki",""
"佐木隆三","佐木隆三","Ryūzō Saki",""
"佐藤満 (レスリング選手)","佐藤满","Mitsuru Sato",""
"吉田光範","吉田光范","Mitsunori Yoshida",""
"吉田東洋","吉田东洋","Yoshida Tōyō",""
"大内義隆","大内义隆","Ōuchi Yoshitaka",""
"宮本輝","宫本辉","Teru Miyamoto",""
"山崎闇斎","山崎暗斋","Yamazaki Ansai",""
"山田タマル","山田珠露","Yamada Tamaru",""
"岡本昌弘","冈本昌弘","Masahiro Okamoto",""
"川上弘美","川上弘美","Hiromi Kawakami",""
"川島海荷","川岛海荷","Umika Kawashima",""
"パティ (歌手)","帕蒂 (歌手)","Patty (singer)",""
"梶野智幸","梶野智幸","Tomoyuki Kajino",""
"豊見城盛続","毛继祖","Tomigusuku Seizoku",""
"永澤菜教","永泽菜教","Nao Nagasawa (voice actress)",""
"池松和彦","池松和彦","Kazuhiko Ikematsu",""
"池添謙一","池添谦一","Kenichi Ikezoe",""
"池田純矢","池田纯矢","Junya Ikeda",""
"清原果耶","清原果耶","Kaya Kiyohara",""
"瀬戸貴幸","濑户贵幸","Takayuki Seto",""
"笠原江梨香","笠原江梨香","Erika Kasahara",""
"赤木完次","赤木完次","Kanji Akagi",""
"鈴木孝幸","铃木孝幸","Takayuki Suzuki (swimmer)",""
"长友宁雄","长友宁雄","Yasuo Nagatomo",""
"高橋みなみ","高桥南","Minami Takahashi",""
"高橋直純","高桥直纯","Naozumi Takahashi",""
"斎藤道三","斋藤道三","Saitō Dōsan",""
"竜星涼","龙星凉","Ryo Ryusei",""
"一条信龍","一条信龙","Ichijō Nobutatsu",""
"京マチ子","京町子","Machiko Kyō",""
"信長公記","信长公记","Shinchō Kōki",""
"千田貞季","千田贞季","Sadasue Senda",""
"冨浦智嗣","富浦智嗣","Satoshi Tomiura",""
"小平邦彦","小平邦彦","Kunihiko Kodaira",""
"山中幸盛","山中幸盛","Yamanaka Yukimori",""
"島崎藤村","岛崎藤村","Tōson Shimazaki",""
"林鵞峰","林鵞峰","Hayashi Gahō",""
"田中角栄","田中角荣","Kakuei Tanaka",""
"田口光久","田口光久","Mitsuhisa Taguchi",""
"矢吹春奈","矢吹春奈","Haruna Yabuki",""
"神田清雄","神田清雄","Kiyoo Kanda",""
"藤ヶ谷太輔","藤谷太辅","Taisuke Fujigaya",""
"西山孝朗","西山孝朗","Takao Nishiyama",""
"西村昭宏","西村昭宏","Akihiro Nishimura (footballer)",""
"酒井直樹 (サッカー選手)","酒井直树 (足球员)","Naoki Sakai (footballer)",""
"野田順子","野田顺子","Junko Noda",""
"金月真美","金月真美","Mami Kingetsu",""
"鈴木梨央","铃木梨央","Rio Suzuki",""
"フロム・ファイブ","五人党","From Five",""
"井上靖","井上靖","Yasushi Inoue",""
"伊藤正男 (生理学者)","伊藤正男","Masao Ito",""
"佐々木勝彦","佐佐木胜彦","Katsuhiko Sasaki",""
"増田長盛","增田长盛","Mashita Nagamori",""
"大野貴史","大野贵史","Yoshifumi Ono",""
"奥村武雄","奥村武雄","Takeo Okumura",""
"安藤謙吉","安藤谦吉","Kenkichi Ando",""
"山口素弘","山口素弘","Motohiro Yamaguchi",""
"広田光毅","广田光毅","Mitsutaka Hirota",""
"志田友美","志田友美","Yuumi Shida",""
"松浦敏夫","松浦敏夫","Toshio Matsuura",""
"森哲","森哲","Satoshi Mori (basketball)",""
"水谷優子","水谷优子","Yūko Mizutani",""
"池沢理美","池泽理美","Satomi Ikezawa",""
"渡辺謙","渡边谦","Ken Watanabe",""
"源義経","源义经","Minamoto no Yoshitsune",""
"理多","理多","Rita (Japanese singer)",""
"田村元","田村元","Hajime Tamura",""
"草間彌生","草间弥生","Yayoi Kusama",""
"遠藤武彦","远藤武彦","Takehiko Endo",""
"野川さくら","野川樱","Sakura Nogawa",""
"鍋島直彬","锅岛直彬","Nabeshima Naoyoshi",""
"長井道利","长井道利","Nagai Michitoshi",""
"ソリョン","雪炫","Kim Seol-hyun",""
"霜月はるか","霜月遥","Haruka Shimotsuki",""
"高木健旨","高木健旨","Kenji Takagi (footballer)",""
"黒河貴矢","黑河贵矢","Takaya Kurokawa",""
"三浦理恵子","三浦理惠子","Rieko Miura",""
"伊吹文明","伊吹文明","Bunmei Ibuki",""
"前田浩二","前田浩二","Koji Maeda",""
"加藤久","加藤久","Hisashi Kato",""
"十返舎一九","十返舍一九","Jippensha Ikku",""
"千葉雄大","千叶雄大","Yudai Chiba",""
"原田夏希","原田夏希","Natsuki Harada",""
"坂田大輔","坂田大辅","Daisuke Sakata",""
"初音 (歌手)","奥村初音","Hatsune Okumura",""
"室屋成","室屋成","Sei Muroya",""
"小松未可子","小松未可子","Mikako Komatsu",""
"小西裕之","小西裕之","Hiroyuki Konishi (gymnast)",""
"小野真弓","小野真弓","Mayumi Ono (actress)",""
"岩佐真悠子","岩佐真悠子","Mayuko Iwasa",""
"川西翔太","川西翔太","Shota Kawanishi",""
"幕府将军：全面战争","幕府将军：全面战争","Shogun: Total War",""
"日本国憲法第9条","日本国宪法第九条","Article 9 of the Constitution of Japan",""
"服部正成","服部半藏","Hattori Hanzō",""
"比企能員","比企能员","Hiki Yoshikazu",""
"河合雅雄","河合雅雄","Masao Kawai",""
"玉置浩二","玉置浩二","Kōji Tamaki",""
"相楽総三","相乐总三","Sagara Sōzō",""
"石井杏奈 (E-girls)","石井杏奈","Anna Ishii",""
"石田亜佑美","石田亚佑美","Ayumi Ishida (singer)",""
"糸山隆司","糸山隆司","Takashi Itoyama",""
"美濃部直彦","美浓部直彦","Naohiko Minobe",""
"萩原佐代子","萩原佐代子","Sayoko Hagiwara",""
"葉山嘉樹","叶山嘉树","Yoshiki Hayama",""
"鈴木浩介 (俳優)","铃木浩介 (演员)","Kosuke Suzuki",""
"阿部力","阿部力","Tsuyoshi Abe",""
"風魔小太郎","风魔小太郎","Fūma Kotarō",""
"中江孝男","中江孝男","Takao Nakae",""
"二条城","二条城","Nijō Castle",""
"仲野太賀","仲野太贺","Taiga Nakano",""
"佐藤英二","佐藤英二","Eiji Sato",""
"岡里明美","冈里明美","Akemi Okazato",""
"南沙良","南沙良","Sara Minami",""
"吉木りさ","吉木理沙","Risa Yoshiki",""
"大村純忠","大村纯忠","Ōmura Sumitada",""
"大石尚哉","大石尚哉","Takaya Oishi",""
"岩本輝雄","岩本辉雄","Teruo Iwamoto",""
"私はシャドウ","我是影子","Watashi wa Shadow",""
"戸田和幸","户田和幸","Kazuyuki Toda",""
"新井茂雄","新井茂雄","Shigeo Arai",""
"明石全登","明石全登","Akashi Takenori",""
"本木雅弘","本木雅弘","Masahiro Motoki",""
"梅田えりか","梅田绘理香","Erika Umeda",""
"森田正馬","森田正马","Shoma Morita",""
"武藤金義","武藤金义","Kaneyoshi Muto",""
"熊本県選挙区","熊本县选举区","Kumamoto at-large district",""
"石橋内閣","石桥内阁","Ishibashi cabinet",""
"西川潤 (サッカー選手)","西川润","Jun Nishikawa (footballer)",""
"谷垣禎一","谷垣祯一","Sadakazu Tanigaki",""
"貝原俊民","贝原俊民","Toshitami Kaihara",""
"鈴木かすみ","铃木霞","Kasumi Suzuki",""
"鎌田光夫","镰田光夫","Mitsuo Kamata",""
"長澤和輝","长泽和辉","Kazuki Nagasawa",""
"阿久悠","阿久悠","Yū Aku",""
"三浦涼介","三浦凉介","Ryōsuke Miura",""
"天津条約 (1885年4月)","中日朝鲜撤兵条约","Convention of Tientsin",""
"今井麻美","今井麻美","Asami Imai",""
"伊藤和典","伊藤和典","Kazunori Itō",""
"佐原健二","佐原健二","Kenji Sahara",""
"元ちとせ","元千岁","Chitose Hajime",""
"加納孝","加纳孝","Takashi Kano",""
"古俣健次","古俣健次","Kenji Komata",""
"古前田充","古前田充","Mitsuru Komaeda",""
"アン・ルイス","安·刘易斯","Ann Lewis (musician)",""
"宮澤浩","宫泽浩","Hiroshi Miyazawa (footballer)",""
"本田圭佑","本田圭佑","Keisuke Honda",""
"森長可","森长可","Mori Nagayoshi",""
"桜田淳子","樱田淳子","Junko Sakurada",""
"正宗白鳥","正宗白鸟","Hakuchō Masamune",""
"池田伸康","池田伸康","Nobuyasu Ikeda",""
"田口禎則","田口祯则","Yoshinori Taguchi",""
"結城アイラ","结城爱良","Aira Yūki",""
"西野朗","西野朗","Akira Nishino (footballer)",""
"近衛前子","近卫前子","Konoe Sakiko",""
"鈴木貫太郎內閣","铃木贯太郎内阁","Kantarō Suzuki cabinet",""
"魁道康弘","魁道康弘","Kaidō Yasuhiro",""
"黒部光昭","黑部光昭","Teruaki Kurobe",""
"R-指定 (ラッパー)","R-指定","R-Shitei",""
"中川秀直","中川秀直","Hidenao Nakagawa",""
"代田稔","代田稔","Minoru Shirota",""
"佐藤藍子","佐藤蓝子","Aiko Satō (actress)",""
"北海道第9区","北海道第9区","Hokkaido 9th district",""
"千葉真一","千叶真一","Sonny Chiba",""
"吉田友一","吉田友一","Tomokazu Yoshida",""
"吉野北人","吉野北人","Hokuto Yoshino",""
"奈良県第1区","奈良县第1区","Nara 1st district",""
"コミネリサ","小峰理纱","Lisa Komine",""
"小澤征悦","小泽征悦","Yukiyoshi Ozawa",""
"山下リオ","山下莉绪","Rio Yamashita",""
"山本一清","山本一清","Issei Yamamoto",""
"星野直志","星野直志","Tadashi Hoshino",""
"星野賀代","星野贺代","Kayo Hoshino",""
"松井一郎","松井一郎","Ichirō Matsui",""
"松村雄基","松村雄基","Yu-ki Matsumura",""
"林氏好","林氏好","Lin Hau",""
"柴本幸","柴本幸","Yuki Shibamoto",""
"楢崎教子","楢崎教子","Noriko Narazaki",""
"永井杏","永井杏","Anzu Nagai",""
"沼田圭悟","沼田圭悟","Keigo Numata",""
"熊谷俊輝","熊谷俊辉","Toshiki Kumagai",""
"神尾光臣","神尾光臣","Kamio Mitsuomi",""
"第2次大隈内閣","第二次大隈内阁","Second Ōkuma cabinet",""
"萩原健一","萩原健一","Kenichi Hagiwara",""
"藤﨑ゆみあ","藤崎由美亚","Yumia Fujisaki",""
"藤本俊","藤本俊","Shun Fujimoto",""
"金城茉奈","金城茉奈","Mana Kinjo",""
"金子恭之","金子恭之","Yasushi Kaneko",""
"長野県第3区","长野县第3区","Nagano 3rd district",""
"塩沢兼人","盐泽兼人","Kaneto Shiozawa",""
"Template:米津玄師","Template:米津玄师","Template:Kenshi Yonezu",""
"三津谷葉子","三津谷叶子","Yoko Mitsuya",""
"三重野瞳","三重野瞳","Hitomi Mieno",""
"中沢元紀","中泽元纪","Motoki Nakazawa",""
"入江聖奈","入江圣奈","Sena Irie",""
"初音映莉子","初音映莉子","Eriko Hatsune",""
"前田亘輝","前田亘辉","Nobuteru Maeda",""
"原内閣","原内阁","Hara cabinet",""
"吉井怜","吉井怜","Rei Yoshii",""
"国生さゆり","国生小百合","Sayuri Kokushō",""
"増地克之","增地克之","Katsuyuki Masuchi",""
"大橋和也","大桥和也","Kazuya Ohashi",""
"奈良林寛紀","奈良林宽纪","Hiroki Narabayashi",""
"奥大介","奥大介","Daisuke Oku",""
"安藤桃子","安藤桃子","Momoko Ando",""
"冨田せな","富田濑奈","Sena Tomita",""
"平教盛","平教盛","Taira no Norimori",""
"マイ☆ボス マイ☆ヒーロー","我的老大，我的英雄","My Boss My Hero",""
"日高里菜","日高里菜","Rina Hidaka",""
"時枝誠記","时枝诚记","Motoki Tokieda",""
"明石志賀之助","明石志贺之助","Akashi Shiganosuke",""
"時任三郎","时任三郎","Saburō Tokitō",""
"榎本温子","榎本温子","Atsuko Enomoto",""
"横井小楠","横井小楠","Yokoi Shōnan",""
"橋本忍","桥本忍","Shinobu Hashimoto",""
"橘公司","橘公司","Kōshi Tachibana",""
"江原真二郎","江原真二郎","Shinjirō Ehara",""
"良寛","良宽","Ryōkan",""
"菅野美穂","菅野美穗","Miho Kanno",""
"西村眞悟","西村真悟","Shingo Nishimura",""
"見上愛","见上爱","Ai Mikami",""
"貝田由里子","贝田由里子","Yuriko Kaida",""
"阿部浩之","阿部浩之","Hiroyuki Abe (footballer)",""
"ルビー・モレノ","露比·莫雷诺","Ruby Moreno",""
"高橋真一郎","高桥真一郎","Shinichiro Takahashi",""
"塩谷司","盐谷司","Tsukasa Shiotani",""
"Template:大塚愛","Template:大冢爱","Template:Ai Otsuka",""
"中山泰秀","中山泰秀","Yasuhide Nakayama",""
"中川大輔 (俳優)","中川大辅","Daisuke Nakagawa (actor)",""
"伊藤健太郎 (俳優)","伊藤健太郎 (演员)","Kentaro Ito (actor, born 1997)",""
"北村菜々美","北村菜菜美","Nanami Kitamura",""
"原田知世","原田知世","Tomoyo Harada",""
"古谷敏","古谷敏","Bin Furuya",""
"大原櫻子","大原樱子","Sakurako Ohara",""
"大地康雄","大地康雄","Yasuo Daichi",""
"大野功統","大野功统","Yoshinori Ohno",""
"寺島宗則","寺岛宗则","Terashima Munenori",""
"ショウタロウ","将太郎","Shotaro (rapper)",""
"小山田真","小山田真","Shin Koyamada",""
"小林孝至","小林孝至","Takashi Kobayashi (wrestler)",""
"小林武史","小林武史","Takeshi Kobayashi",""
"島田満","岛田满","Michiru Shimada",""
"川瀬智子","川濑智子","Tomoko Kawase",""
"斎藤文夫 (バスケットボール)","斋藤文夫","Fumio Saito",""
"日村勇紀","日村勇纪","Yūki Himura",""
"会沢正志斎","会泽正志斋","Aizawa Seishisai",""
"村瀬紗英","村濑纱英","Sae Murase",""
"松井謙弥","松井谦弥","Kenya Matsui",""
"柳葉敏郎","柳叶敏郎","Toshirō Yanagiba",""
"桃月なしこ","桃月梨子","Nashiko Momotsuki",""
"森本慎太郎","森本慎太郎","Shintaro Morimoto",""
"武藤礼子","武藤礼子","Reiko Mutō",""
"水内猛","水内猛","Takeshi Mizuuchi",""
"泉鏡花","泉镜花","Kyōka Izumi",""
"濱口内閣","滨口内阁","Hamaguchi cabinet",""
"張作霖爆殺事件","皇姑屯事件","Huanggutun incident",""
"磯野貴理子","矶野贵理子","Kiriko Isono",""
"稲葉浩志","稻叶浩志","Koshi Inaba",""
"茂木健一郎","茂木健一郎","Ken Mogi",""
"西郷どん (NHK大河ドラマ)","西乡殿","Segodon",""
"西野カナ","西野加奈","Kana Nishino",""
"豊永利行","丰永利行","Toshiyuki Toyonaga",""
"遠藤雄弥","远藤雄弥","Yuya Endo",""
"野水伊織","野水伊织","Iori Nomizu",""
"高井幸大","高井幸大","Kōta Takai",""
"久保亘","久保亘","Wataru Kubo",""
"佐佐木信綱","佐佐木信纲","Nobutsuna Sasaki",""
"佐々木雅尚","佐佐木雅尚","Masanao Sasaki",""
"内山眞人","内山真人","Masato Uchiyama",""
"前田憂佳","前田忧佳","Yuuka Maeda",""
"和马","和马","Kazuma Mitchell",""
"大友慧","大友慧","Satoshi Ōtomo",""
"大山のぶ代","大山羡代","Nobuyo Ōyama",""
"小野川喜三郎","小野川喜三郎","Onogawa Kisaburō",""
"山下澄人","山下澄人","Sumito Yamashita",""
"川嶋あい","川嶋爱","Ai Kawashima",""
"平塚らいてう","平冢雷鸟","Hiratsuka Raichō",""
"廣川信隆","广川信隆","Nobutaka Hirokawa",""
"支倉常長","支仓常长","Hasekura Tsunenaga",""
"朝倉あき","朝仓礼生","Aki Asakura",""
"村上信五","村上信五","Shingo Murakami",""
"村山富市","村山富市","Tomiichi Murayama",""
"松本慎吾","松本慎吾","Shingo Matsumoto",""
"柄本時生","柄本时生","Tokio Emoto",""
"浦井健治","浦井健治","Kenji Urai",""
"浜美枝","滨美枝","Mie Hama",""
"田辺誠一","田边诚一","Seiichi Tanabe",""
"白石麻衣","白石麻衣","Mai Shiraishi",""
"白鳥百合子","白鸟百合子","Yuriko Shiratori",""
"秋山ゆずき","秋山柚稀","Yuzuki Akiyama",""
"荒井広幸","荒井广幸","Hiroyuki Arai",""
"轟賢二郎","轰贤二郎","Kenjiro Todoroki",""
"鈴村健一","铃村健一","Kenichi Suzumura",""
"長谷景治","长谷景治","Keiji Hase",""
"青野武","青野武","Takeshi Aono",""
"須藤茂光","须藤茂光","Shigemitsu Sudo",""
"つぐみ (女優)","Tsugumi (女演员)","Tsugumi (actress)",""
"佐野海舟","佐野海舟","Kaishū Sano",""
"北一輝","北一辉","Ikki Kita",""
"及川光博","及川光博","Mitsuhiro Oikawa",""
"園田勇","园田勇","Isamu Sonoda",""
"大久保桜子","大久保樱子","Sakurako Okubo",""
"大村益次郎","大村益次郎","Ōmura Masujirō",""
"子門真人","子门真人","Masato Shimon",""
"宮崎智彦","宫崎智彦","Tomohiko Miyazaki",""
"宮沢和史","宫泽和史","Kazufumi Miyazawa",""
"宮沢賢治","宫泽贤治","Kenji Miyazawa",""
"山本嘉次郎","山本嘉次郎","Kajirō Yamamoto",""
"山田美諭","山田美谕","Miyu Yamada",""
"広瀬武夫","广濑武夫","Hirose Takeo",""
"朴市秦田来津","朴市秦田来津","Echi no Takutsu",""
"梓みちよ","梓美千代","Michiyo Azusa",""
"池内博之","池内博之","Hiroyuki Ikeuchi",""
"滝口幸広","泷口幸广","Yukihiro Takiguchi",""
"田中実 (俳優)","田中实 (演员)","Minoru Tanaka (actor)",""
"白神守","白神守","Mamoru Shiragami",""
"粟屋仙吉","粟屋仙吉","Senkichi Awaya",""
"紅音ほたる","红音萤","Hotaru Akane",""
"維新の三傑","维新三杰","Three Great Nobles of the Restoration",""
"美郷あき","美乡秋","Aki Misato",""
"能見正比古","能见正比古","Masahiko Nomi",""
"藤野涼子","藤野凉子","Ryōko Fujino",""
"西郷局","西乡局","Lady Saigō",""
"賴髙英雄","赖高英雄","Hideo Yoritaka",""
"野村萬斎","野村万斋","Mansai Nomura",""
"野沢雅子","野泽雅子","Masako Nozawa",""
"鈴木香音","铃木香音","Kanon Suzuki",""
"高田昌明","高田昌明","Masaaki Takada",""
"中嶋聡彦","中嶋聪彦","Toshihiko Nakajima",""
"中野弘幸","中野弘幸","Hiroyuki Nakano (athlete)",""
"伊達治一郎","伊达治一郎","Jiichiro Date",""
"佐々木心音","佐佐木心音","Kokone Sasaki",""
"加藤寛治","加藤宽治","Katō Kanji",""
"吉原宏太","吉原宏太","Kota Yoshihara",""
"和田貴広","和田贵广","Takahiro Wada",""
"尾崎豊","尾崎丰","Yutaka Ozaki",""
"山村隆太","山村隆太","Ryuta Yamamura",""
"岡崎令治","冈崎令治","Reiji Okazaki",""
"平松守彦","平松守彦","Morihiko Hiramatsu",""
"戸川昌子","户川昌子","Masako Togawa",""
"政治資金パーティー収入の裏金問題","日本自由民主党政治资金丑闻","2023–2024 Japanese slush fund scandal",""
"日野富子","日野富子","Hino Tomiko",""
"木下尚江","木下尚江","Kinoshita Naoe",""
"松沢成文","松泽成文","Shigefumi Matsuzawa",""
"梶原岳人","梶原岳人","Gakuto Kajiwara",""
"河上肇","河上肇","Hajime Kawakami",""
"法華津寛","法华津宽","Hiroshi Hoketsu",""
"片山洋","片山洋","Hiroshi Katayama",""
"田中誠 (サッカー選手)","田中诚","Makoto Tanaka",""
"笠原弘子","笠原弘子","Hiroko Kasahara",""
"薬害エイズ事件","药害爱滋事件","Contaminated blood scandal in Japan",""
"西内まりや","西内玛丽亚","Mariya Nishiuchi",""
"西川公也","西川公也","Koya Nishikawa",""
"西村知道","西村知道","Tomomichi Nishimura",""
"金城ジャスティン俊樹","金城俊树","Justin Toshiki Kinjo",""
"隆大介","隆大介","Daisuke Ryu",""
"飯塚幸三","饭冢幸三","Kozo Iizuka",""
"黄文雄 (評論家)","黄文雄 (作家)","Kō Bun'yū",""
"三木武吉","三木武吉","Bukichi Miki",""
"久保ユリカ","久保百合花","Yurika Kubo",""
"伊東輝悦","伊东辉悦","Teruyoshi Itō",""
"佐藤慶明","佐藤庆明","Yoshiaki Sato",""
"佐野常民","佐野常民","Sano Tsunetami",""
"元木康年","元木康年","Yasutoshi Motoki",""
"加瀬亮","加濑亮","Ryo Kase",""
"原田美枝子","原田美枝子","Mieko Harada",""
"吉井香奈恵","吉井香奈惠","Kanae Yoshii",""
"天羽良輔","天羽良辅","Ryosuke Amo",""
"山本圭","山本圭","Kei Yamamoto",""
"川合達夫","川合达夫","Tatsuo Kawai (wrestler)",""
"徳野和彦","德野和彦","Kazuhiko Tokuno",""
"惠川光生","惠川光生","Kosei Egawa",""
"押井守","押井守","Mamoru Oshii",""
"檜山沙耶","桧山沙耶","Saya Hiyama",""
"横山正文","横山正文","Masafumi Yokoyama",""
"エスクデロ競飛王","沙治奥·艾斯古迪路 (1988年)","Sergio Escudero (footballer, born 1988)",""
"渡辺武 (官僚)","渡边武","Takeshi Watanabe (civil servant)",""
"湊あくあ","凑阿库娅","Minato Aqua",""
"滨崎荣一郎","滨崎荣一郎","Eiichiro Hamazaki",""
"瀬川亮","濑川亮","Ryo Segawa",""
"片山哲","片山哲","Tetsu Katayama",""
"生田衣梨奈","生田衣梨奈","Erina Ikuta",""
"秘密 (東野圭吾)","秘密 (小说)","Naoko (novel)",""
"結木滉星","结木滉星","Kousei Yuki",""
"義姫","义姬","Yoshihime",""
"荒井祭里","荒井祭里","Matsuri Arai",""
"藤山一郎","藤山一郎","Ichirō Fujiyama",""
"藤川千愛","藤川千爱","Chiai Fujikawa",""
"西寛二郎","西宽二郎","Nishi Kanjirō",""
"西山将士","西山将士","Masashi Nishiyama",""
"谷村奈南","谷村奈南","Nana Tanimura",""
"金丸信","金丸信","Shin Kanemaru",""
"高垣彩陽","高垣彩阳","Ayahi Takagaki",""
"中尾美樹","中尾美树","Miki Nakao",""
"伊沢修二","伊泽修二","Isawa Shūji",""
"伊藤翔","伊藤翔","Sho Ito",""
"住友政友","住友政友","Sumitomo Masatomo",""
"分島花音","分岛花音","Kanon Wakeshima",""
"名波浩","名波浩","Hiroshi Nanami",""
"堂安律","堂安律","Ritsu Dōan",""
"増井禎夫","增井祯夫","Yoshio Masui",""
"大山倍達","大山倍达","Mas Oyama",""
"奈須きのこ","奈须蘑菇","Kinoko Nasu",""
"安田顕","安田显","Ken Yasuda (actor)",""
"宮田登","宫田登","Miyata Noboru",""
"小渕優子","小渊优子","Yūko Obuchi",""
"小瀬戸俊昭","小濑户俊昭","Toshiaki Kosedo",""
"島田一郎","岛田一郎","Shimada Ichirō",""
"川島なお美","川岛直美","Naomi Kawashima",""
"SHOGUN 将軍","幕府将军 (2024年电视剧)","Shōgun (2024 TV series)",""
"幸田将和","幸田将和","Masakazu Koda",""
"後藤友香里","后藤友香里","Yukari Goto",""
"德大寺实则","德大寺实则","Tokudaiji Sanetsune",""
"方広寺","方广寺 (京都市)","Hōkō-ji (Kyoto)",""
"楢原静","楢原静","Shizuka Narahara",""
"水道橋博士","水道桥博士","Hakase Suidobashi",""
"窪木一茂","洼木一茂","Kazushige Kuboki",""
"狩野亮","狩野亮","Akira Kano",""
"相原信行","相原信行","Nobuyuki Aihara",""
"磯山さやか","矶山沙也加","Sayaka Isoyama",""
"神奈延年","神奈延年","Nobutoshi Canna",""
"第5次吉田内閣","第五次吉田内阁","Fifth Yoshida cabinet",""
"イノセント・ラヴ","纯爱 (日本电视剧)","Innocent Love (TV series)",""
"賤ヶ岳の戦い","贱岳之战","Battle of Shizugatake",""
"鈴木拡樹","铃木扩树","Hiroki Suzuki (actor, born 1985)",""
"鍋島直大","锅岛直大","Nabeshima Naohiro (Saga)",""
"阿部知二","阿部知二","Tomoji Abe",""
"マホロ一生","马浩龙","Issey Maholo",""
"三浦徳子","三浦德子","Yoshiko Miura",""
"上遠野太洸","上远野太洸","Taiko Katono",""
"中川未由希","中川未由希","Miyuki Nakagawa",""
"大森健作","大森健作","Kensaku Omori",""
"寺本莉緒","寺本莉绪","Rio Teramoto",""
"望月優子","望月优子","Yūko Mochizuki",""
"TOKIO","东京小子","Tokio (band)",""
"松本隆太郎","松本隆太郎","Ryūtarō Matsumoto",""
"林凪沙","林凪沙","Nagisa Hayashi",""
"桃園天皇","桃园天皇","Emperor Momozono",""
"横山由依","横山由依","Yui Yokoyama",""
"江坂任","江坂任","Ataru Esaka",""
"浅田次郎","浅田次郎","Jirō Asada",""
"渡井理己","渡井理己","Masaki Watai",""
"田坂祐介","田坂祐介","Yusuke Tasaka",""
"真柄直隆","真柄直隆","Magara Naotaka",""
"矶川孝生","矶川孝生","Takao Isokawa",""
"福村寿华","福村寿华","Juka Fukumura",""
"福田康夫","福田康夫","Yasuo Fukuda",""
"第1次大隈内閣","第一次大隈内阁","First Ōkuma cabinet",""
"第2次池田内閣","第二次池田内阁","Second Ikeda cabinet",""
"細谷真大","细谷真大","Mao Hosoya",""
"野口幸司","野口幸司","Koji Noguchi",""
"鈴木えみ","铃木惠美","Emi Suzuki",""
"青木志貴","青木志贵","Shiki Aoki",""
"飯島誠 (自転車選手)","饭岛诚","Makoto Iijima",""
"上杉茂憲","上杉茂宪","Uesugi Mochinori",""
"WORLD ORDER","世界秩序 (表演团体)","World Order (band)",""
"中津真莉","中津真莉","Mari Nakatsu",""
"中田譲治","中田让治","Jouji Nakata",""
"来島通総","来岛通总","Kurushima Michifusa",""
"吉元玲美那","吉元玲美那","Remina Yoshimoto",""
"吉岡聖恵","吉冈圣惠","Kiyoe Yoshioka",""
"和辻哲郎","和辻哲郎","Tetsurō Watsuji",""
"大迫勇也","大迫勇也","Yuya Osako",""
"室伏広治","室伏广治","Koji Murofushi",""
"小太刀右京","小太刀右京","Ukyō Kodachi",""
"山口紗弥加","山口纱弥加","Sayaka Yamaguchi",""
"市道真央","市道真央","Mao Ichimichi",""
"庄野潤三","庄野润三","Junzo Shono",""
"村瀬幸子","村濑幸子","Sachiko Murase",""
"横山隆志","横山隆志","Takashi Yokoyama (swimmer)",""
"江田三郎","江田三郎","Saburō Eda",""
"池田エライザ","池田依来沙","Elaiza Ikeda",""
"沼正作","沼正作","Shosaku Numa",""
"清原奈侑","清原奈侑","Nayu Kiyohara",""
"清水直右衛門","清水直右卫门","Naoemon Shimizu",""
"畑亜貴","畑亚贵","Aki Hata",""
"白井淳","白井淳","Atsushi Shirai",""
"相川七瀬","相川七濑","Nanase Aikawa",""
"美輪明宏","美轮明宏","Akihiro Miwa",""
"ジュディ・オング","翁倩玉","Judy Ongg",""
"芳賀優里亜","芳贺优里亚","Yuria Haga",""
"豊国神社","丰国神社","Toyokuni Shrine",""
"遠藤綾","远藤绫","Aya Endō",""
"鈴木啓太","铃木启太","Keita Suzuki (footballer, born 1981)",""
"門屋加壽子","门屋加寿子","Kazuko Kadoya",""
"雁金準一","雁金准一","Karigane Junichi",""
"青山草太","青山草太","Sota Aoyama",""
"三上明紀","三上明纪","Akinori Mikami",""
"中村祐造","中村祐造","Yūzō Nakamura",""
"五十嵐和也","五十岚和也","Kazuya Igarashi",""
"伊藤咲子","伊藤咲子","Sakiko Ito",""
"伊達三郎","伊达三郎","Saburo Date",""
"信長協奏曲","信长协奏曲","Nobunaga Concerto",""
"内田篤人","内田笃人","Atsuto Uchida",""
"北村一輝","北村一辉","Kazuki Kitamura",""
"大久保貴広","大久保贵广","Takahiro Okubo",""
"天海祐希","天海祐希","Yūki Amami",""
"子母澤寛","子母泽宽","Kan Shimozawa",""
"室生犀星","室生犀星","Murō Saisei",""
"山本昌邦","山本昌邦","Masakuni Yamamoto",""
"忘却探偵シリーズ","忘却侦探系列","Bōkyaku Tantei",""
"早乙女太一","早乙女太一","Taichi Saotome",""
"本街直樹","本街直树","Naoki Hommachi",""
"杉村隆","杉村隆","Takashi Sugimura",""
"松田洋治","松田洋治","Yōji Matsuda",""
"武虎","武虎","Taketora (voice actor)",""
"水木薫","水木薰","Kaoru Mizuki",""
"水野晃樹","水野晃树","Koki Mizuno",""
