"korean","chinese","english","gender"
"최요삼","崔尧三","Choi Yo-sam",""
"최항 (1409년)","崔恒","Ch'oe Hang (Joseon civil minister)",""
"최미선 (양궁 선수)","崔美善 (射箭运动员)","Choi Mi-sun",""
"연우진","延玗臻","Yeon Woo-jin",""
"스텔라장","张星银","Stella Jang",""
"서은광","徐恩光","Seo Eun-kwang",""
"은신군","恩信君","Prince Eunsin",""
"태일 (1994년)","文泰一","Taeil (singer)",""
"조상우 (1994년)","曹尚佑","Cho Sang-woo",""
"조성모","曹诚模","Jo Sung-mo",""
"박완서","朴婉緖","Park Wan-suh",""
"권경원","权敬原","Kwon Kyung-won",""
"리승기","李升基","Ri Sung-gi",""
"이주호 (1961년)","李周浩 (政治人物)","Lee Ju-ho",""
"이춘희","李春熙 (韩国)","Lee Choon-hee",""
"영창대군","永昌大君","Grand Prince Yeongchang",""
"권민아","珉娥","Kwon Mina",""
"정선용","郑善溶","Jung Sun-yong",""
"정진희","郑镇憙","Jeong Jin-hui",""
"정가희","郑嘉熙","",""
"정혜린","郑惠莲","",""
"정청래","郑清来","Jung Chung-rae",""
"정려원","郑丽媛","Jung Ryeo-won",""
"김인태 (배우)","金仁泰","",""
"김태훈 (1975년생 배우)","金太勋","Kim Tae-hoon (actor)",""
"김형두 (법조인)","金炯枓","Kim Hyungdu",""
"황쯔타오","黄子韬","Huang Zitao",""
"황진 (1550년)","黄进 (朝鲜)","Hwang Jin",""
"1991년 대한민국 지방의회의원 선거","1991年大韩民国地方议会议员选举","1991 South Korean local elections",""
"12·3 내란","2024年韩国戒严","2024 South Korean martial law crisis",""
"2PM의 음반 목록","2PM音乐作品列表","2PM discography",""
"전미선","全美善","Jeon Mi-seon",""
"남지성","南智星","Nam Ji-sung",""
"노수희","卢修熙","Roh Su-hui",""
"미남이시네요","原来是美男 (韩国电视剧)","You're Beautiful (TV series)",""
"손현주","孙贤周","Son Hyun-joo",""
"윤명준","尹明准","Yoon Myung-june",""
"최민환","崔敏焕","Choi Min-hwan",""
"최지현 (쇼트트랙 선수)","崔智贤","Choi Ji-hyun",""
"최민준","崔珉准","",""
"수빈 (2000년)","崔秀彬","Soobin (singer)",""
"공빈 김씨","恭嫔金氏","Royal Noble Consort Gongbin Kim",""
"박성우 (배드민턴인)","朴星宇","Park Sung-woo (badminton)",""
"박하선","朴河宣","Park Ha-sun",""
"박희태","朴熺太","",""
"박위","朴葳","",""
"이준석","李俊锡","Lee Jun-seok",""
"이용구","李容九","",""
"임경업","林庆业","Im Gyeong-eop",""
"유정호","柳正浩","",""
"류해준","柳海濬","",""
"유리구두 (2002년 드라마)","玻璃鞋 (电视剧)","Glass Slippers",""
"신현승","申泫胜","",""
"백상훈 (프로듀서)","白尚勋","",""
"알렉스 (가수)","秋宪坤","Alex Chu",""
"케빈 나","罗相昱","Kevin Na",""
"예지원","芮智媛","Ye Ji-won",""
"라이언 전","莱恩·全","Ryan S. Jhun",""
"채영인","蔡煐引","Chae Young-in",""
"김만복 (1946년)","金万福","",""
"김선영 (1976년)","金善映","Kim Sun-young (actress, born 1976)",""
"김대중","金大中","Kim Dae-jung",""
"김보라 (배우)","金宝罗 (演员)","Kim Bo-ra",""
"김성일 (쇼트트랙 선수)","金成一","Kim Seoung-il",""
"김문기","金文起","",""
"김지훈 (1981년생 배우)","金智勋","Kim Ji-hoon (actor, born 1981)",""
"김태민 (축구인)","金泰敏","Kim Tae-min",""
"김하은 (배우)","金贺恩","Kim Ha-eun",""
"김채현","金采炫","Kim Chae-hyun",""
"민무휼","闵无恤","",""
"한다솔","韩多率","Han Da-sol",""
"대한민국 제12대 대통령 선거","1981年大韩民国总统选举","1981 South Korean presidential election",""
"거미 (가수)","Gummy (歌手)","Gummy (singer)",""
"배우희","优熙","Bae Woo-hee",""
"원정식","元正植","Won Jeong-sik",""
"천일의 약속","千日的约定","A Thousand Days' Promise",""
"오반석","吴反锡","Oh Ban-suk",""
"손흥민","孙兴慜","Son Heung-min",""
"학림 사건","学林事件","",""
"안영학","安英学","An Yong-hak",""
"윤세아","尹世雅","Yoon Se-ah",""
"최다빈","崔多彬","Choi Da-bin",""
"최수진 (작가)","崔秀珍 (编剧)","",""
"주상욱","朱相昱","Joo Sang-wook",""
"박서준","朴叙俊","Park Seo-joon",""
"이대연","李大渊","Lee Dae-yeon",""
"이징옥","李澄玉","Yi Chingok",""
"이특영","李特英","Lee Tuk-young",""
"동방신기","东方神起","TVXQ",""
"감우성","甘宇成","Kam Woo-sung",""
"복창군","福昌君","",""
"장렬왕후","庄烈王后","Queen Jangnyeol",""
"조이현 (1999년)","赵怡贤","Cho Yi-hyun",""
"조정선","赵正善","",""
"조윤희","赵胤熙","Jo Yoon-hee",""
"차은우","车银优","Cha Eun-woo",""
"정여립","郑汝立","Chŏng Yŏrip",""
"김희정 (1970년)","金姬贞","Kim Hee-jung (actress, born 1970)",""
"김정은 (배우)","金廷恩","Kim Jung-eun",""
"김한길","金汉吉","Kim Han-gil",""
"김태용 (1969년)","金泰勇","Kim Tae-yong",""
"한명회","韩明浍","Han Myŏnghoe",""
"황우석","黄禹锡","Hwang Woo-suk",""
"틀:이창동","Template:李沧东","Template:Lee Chang-dong",""
"정의철","丁义澈","Jung Eui-chul",""
"광무개혁","光武改革","Kwangmu Reform",""
"전우원","全宇元","Chun Woo-won",""
"구건민","具件敏","",""
"남주혁","南柱赫","Nam Joo-hyuk",""
"사재혁","史载赫","Sa Jae-hyouk",""
"오영실","吴英实","",""
"강승윤","姜升润","Kang Seung-yoon",""
"강예솔","姜艺瑟","",""
"진종 (조선)","孝章世子","Crown Prince Hyojang",""
"손종학","孙钟鹤","",""
"안성재","安成宰","Sung Anh",""
"송재희 (배우)","宋在喜","Song Jae-hee",""
"윤상정","尹相贞","Yoon Sang-jeong",""
"최주환","崔周焕","Choi Joo-hwan",""
"서현숙 (치어리더)","徐贤淑 (啦啦队)","",""
"박승태","朴胜泰","",""
"박슬기 (방송인)","朴瑟琪","",""
"박종환 (배우)","朴钟焕","Park Jong-hwan (actor)",""
"이양희 (심리학자)","李亮喜","Yanghee Lee",""
"이회영","李会荣","Yi Hoeyŏng",""
"준호","李俊昊","Lee Jun-ho",""
"이준혁 (1984년)","李浚赫","Lee Joon-hyuk (actor, born 1984)",""
"이수지 (1998년)","李绣至","Lee Su-ji",""
"임오경","林五卿","Lim O-kyeong",""
"임권택","林权泽","Im Kwon-taek",""
"심수봉","沈守峰","Sim Soo-bong",""
"헤이그 특사 사건","海牙密使事件","Hague Secret Emissary Affair",""
"옥주현","玉珠铉","Ock Joo-hyun",""
"제3공화국 (드라마)","第三共和国 (电视剧)","",""
"조한승","赵汉乘","Cho Han-seung",""
"김도영 (2003년)","金倒永","Kim Do-yeong",""
"김태형 (1988년생 배우)","金太亨","Gu Won",""
"김덕룡","金德龙","",""
"지수 (배우)","金志洙","Ji Soo",""
"성제 (가수)","金成帝","",""
"김민교 (배우)","金民教","Kim Min-kyo",""
"김슬기 (배우)","金瑟琪","Kim Seul-gi",""
"김조순","金祖淳","Kim Jo-sun (politician)",""
"김수현 (치어리더)","金秀泫 (啦啦队员)","",""
"김수진 (1974년)","金秀珍 (1974年)","Kim Soo-jin (actress)",""
"한채영","韩彩英","Han Chae-young",""
"한순철","韩淳哲","Han Soon-chul",""
"7인의 부활","7人的复活","",""
"여자친구의 수상 목록","GFRIEND获奖与提名列表","List of awards and nominations received by GFriend",""
"타루","Taru (歌手)","",""
"구자근","具滋根","",""
"여준형","吕俊亨","Yeo Jun-hyung",""
"데이비드 오","吴世勋 (韩国歌手)","David Oh (musician)",""
"착한 여자 부세미","善良的女人夫世弥","Ms. Incognito",""
"강선우","姜仙祐","Kang Sun-woo",""
"공명 (배우)","孔明 (艺人)","Gong Myung",""
"손동표","孙东杓","Dongpyo",""
"안치홍","安致弘","An Chi-hong",""
"정한 (가수)","尹净汉","Jeonghan",""
"최우근","崔宇根","Choi U-geun",""
"최동원","崔东原","Choi Dong-won",""
"장강명","张康明","Chang Kang-myoung",""
"장경진","张敬珍","Jang Kyung-jin",""
"우리 옆집에 EXO가 산다","我的邻居是EXO","Exo Next Door",""
"박시연 (2000년생 배우)","施妍","Xiyeon",""
"조만식","曹晚植","Cho Man-sik",""
"문종 (조선)","朝鲜文宗","Munjong of Joseon",""
"주진모 (1958년)","朱镇模 (1958年)","Joo Jin-mo (actor, born 1958)",""
"이세영 (배우)","李世荣","Lee Se-young",""
"이재인 (배우)","李在仁","Lee Jae-in",""
"이다희 (배우)","李多熙 (演员)","Lee Da-hee",""
"이태선","李太善","Lee Tae-sun",""
"이하율","李河汩","Lee Ha-yool",""
"이태리 (배우)","李泰利","Lee Tae-ri",""
"이유미 (배우)","李瑜美","Lee Yoo-mi",""
"이솜","李絮","Esom",""
"이성규","李圣圭","",""
"유인수 (배우)","柳仁秀","Yoo In-soo",""
"오로라 공주 (드라마)","欧若拉公主","Princess Aurora (TV series)",""
"심달기","沈达琪","Shim Dal-gi",""
"홍여진","洪如真","Hong Yeo-jin",""
"신직수","申稙秀","",""
"정동현 (배우)","郑东铉 (演员)","",""
"정태욱","郑泰旭","Jeong Tae-wook",""
"김동성 (쇼트트랙 선수)","金东圣","Kim Dong-sung",""
"김진아 (치어리더)","金吉娜","",""
"김주찬","金周灿","Kim Joo-chan",""
"김재익 (1938년)","金在益","",""
"김이교","金履乔","Kim Igyo",""
"김영남 (레슬링 선수)","金永南 (摔跤运动员)","Kim Young-nam",""
"한국미래연합","韩国未来联合","",""
"윤하","高润荷","Younha",""
"디바 (음악 그룹)","Diva (音乐团体)","Diva (South Korean group)",""
"전종서","全钟瑞","Jeon Jong-seo",""
"육우당 (활동가)","六友堂","Yun Hyon-seok",""
"구자경 (기업인)","具滋暻","Koo Cha-kyung",""
"유민규","刘旻奎","Yoo Min-kyu",""
"4대강 정비 사업","四大江治理工程","Four Major Rivers Project",""
"김다솜 (배우)","多顺","Kim Da-som",""
"강영미","姜荣美","Kang Young-mi",""
"손지훈","孙智勋","",""
"안재욱","安在旭","Ahn Jae-wook",""
"안창환 (배우)","安昌焕","",""
"송재정","宋在贞","Song Jae-jeong",""
"윤현지","尹贤智","Yoon Hyun-ji",""
"최명훈","崔明勋","Choi Myung-hoon",""
"이원경 (1827년)","怀平君","Prince Hoepyeong",""
"문경찬","文京赞","",""
"문형배","文炯培","Moon Hyung-bae",""
"조영진","曹荣辰","",""
"박계범","朴桂范","",""
"이광표","李光杓","",""
"이재경 (다이빙 선수)","李在炅","",""
"이병규 (1974년)","李炳圭","Lee Byung-kyu",""
"이열음","李烈音","Lee Yul-eum",""
"이종혁 (배우)","李钟赫 (1974年)","Lee Jong-hyuk",""
"권도형","权渡衡","Do Kwon",""
"신재영 (야구인)","申在永","Shin Jae-young",""
"신정환","申廷焕","Shin Jung-hwan",""
"노도철","卢道哲","",""
"대한민국 제5공화국","第五共和国 (大韩民国)","Fifth Republic of Korea",""
"볼빨간사춘기","脸红的思春期","BOL4",""
"귀인 장씨","贵人张氏 (朝鲜高宗)","",""
"정예인","郑叡仁","Jeong Ye-in",""
"정휘 (배우)","郑𪸩","",""
"정의제","郑义诸","",""
"김동률","金东律","Kim Dong-ryul",""
"김신욱","金信煜","Kim Shin-wook",""
"김승수 (1965년)","金承洙 (1965年)","",""
"김민선 (스피드스케이팅 선수)","金旼鲜","Kim Min-sun (speed skater)",""
"김정훈 (1980년)","金桢勋","Kim Jeong-hoon",""
"김무열","金武烈","Kim Mu-yeol",""
"한재석 (1973년)","韩载锡","Han Jae-suk",""
"7인의 탈출","7人的逃脱","The Escape of the Seven",""
"JYP 엔터테인먼트","JYP娱乐","JYP Entertainment",""
"낸시 (가수)","南希·麦多尼","Nancy (singer)",""
"송찬양","宋赞养","",""
"윤영덕","尹永德","",""
"윤종석","尹钟硕","",""
"건양","建阳 (朝鲜王朝)","",""
"장미인애","张美仁爱","Jang Mi-inae",""
"문희 (배우)","文姬","Moon Hee",""
"조웅천","曹雄天","",""
"조선 국왕","朝鲜王朝君主列表","List of kings of Joseon",""
"박찬혁","朴灿爀","",""
"이동훈 (바둑 기사)","李东勋 (围棋棋手)","",""
"이도연 (1985년)","李度妍","",""
"이정신","李正信","Lee Jung-shin",""
"이해준 (영화 감독)","李海准","Lee Hae-jun",""
"이익 (실학자)","李瀷","Yi Ik",""
"이진아 (가수)","李珍雅","Lee Jin-ah",""
"이복원","李福源","",""
"이병철","李秉喆","Lee Byung-chul",""
"이기제","李记帝","Lee Ki-je",""
"임성한","林成汉","Im Sung-han",""
"아버지가 미안하다","爸爸对不起","",""
"왕젠밍","王建明 (足球运动员)","Wang Chien-ming (footballer)",""
"지금 거신 전화는","现在拨打的电话","When the Phone Rings",""
"노종현","卢宗贤","Noh Jong-hyun",""
"배인혁 (배우)","裴仁爀","Bae In-hyuk",""
"허동원","许栋元","",""
"정유안","郑惟安","",""
"정은표","郑殷杓","Jung Eun-pyo",""
"김원기 (레슬링 선수)","金原基","Kim Weon-kee",""
"김채영 (바둑 기사)","金彩瑛","",""
"김혜린 (배드민턴 선수)","金慧麟","Kim Hye-rin",""
"김민하 (1995년)","金敏荷","Kim Min-ha",""
"김성환 (1953년)","金星焕 (1953年)","Kim Sung-hwan (diplomat)",""
"김무준","金武俊","Kim Mu-jun",""
"김호동","金浩东","Kim Ho-dong",""
"김연우","金烟雨","Kim Yeon-woo",""
"김수현 (역도 선수)","金秀泫","Kim Su-hyeon (weightlifter)",""
"김종국 (가수)","金钟国","Kim Jong-kook",""
"고준희","高准熹","Go Joon-hee",""
"주군의 태양","主君的太阳","Master's Sun",""
"롯데월드","乐天世界","Lotte World",""
"이특","利特","Leeteuk",""
"변요한","卞约汉","Byun Yo-han",""
"손은서","孙恩书","Son Eun-seo",""
"윤호중","尹昊重","Yun Ho-jung",""
"윤석영","尹锡荣","Yun Suk-young",""
"염지영","廉智咏","",""
"서봉수","徐奉洙","Seo Bong-soo",""
"서영석 (1964년)","徐暎锡","",""
"박세웅 (1995년)","朴世雄","Park Se-woong",""
"박태하","朴泰夏","Park Tae-ha",""
"박진영 (1994년)","朴珍荣","Jinyoung (entertainer, born 1994)",""
"타블로","李善雄","Tablo",""
"티애","李太恩","",""
"이용호 (1960년)","李容镐","",""
"이상헌 (배우)","李相宪 (演员)","Sang Heon Lee",""
"임지현 (역사가)","林志弦","Jie-Hyun Lim",""
"권성창","权成昌","",""
"한다라","海岭","Na Hae-ryung",""
"신현준 (군인)","申铉俊","Shin Hyun-joon (general)",""
"백성기","白圣基","",""
"배찬수","裴赞洙","Bae Chan-soo",""
"허각","许阁","Huh Gak",""
"조민경 (배우)","赵敏敬","",""
"조상기","赵相纪","",""
"차유람","车游岚","Cha Yu-ram",""
"정동현 (스키 선수)","郑东铉","Jung Dong-hyun",""
"정윤성 (테니스 선수)","郑允成","Chung Yun-seong",""
"김가은 (1989년 1월)","金佳恩","Kim Ga-eun",""
"홍중","金弘中","Hongjoong",""
"김정민 (KBS 연출가)","金政珉","",""
"김민수 (1991년)","金珉秀","",""
"김주나","金珠娜","",""
"김상호 (연출가)","金相浩 (导演)","",""
"김지운 (영화 감독)","金知云","Kim Jee-woon",""
"클로젯","阴橱","The Closet (2020 film)",""
"진수완","陈秀完","",""
"한선화","韩善伙","Han Sun-hwa",""
"마주희","马珠熙","",""
"고민정","高旼廷","Ko Min-jung",""
"검은 사제들","黑祭司们","The Priests (film)",""
"비에이치엔터테인먼트","BH娱乐","BH Entertainment",""
"EXO의 음반 목록","EXO音乐作品列表","Exo discography",""
"히스토리 (음악 그룹)","History (乐团)","History (band)",""
"정약종","丁若钟","Chŏng Yakchong",""
"전혁진","全奕陈","Jeon Hyeok-jin",""
"오동운","吴东运","",""
"여운홍","吕运弘","",""
"태항호","太恒浩","Tae Hang-ho",""
"공승연","孔升妍","Gong Seung-yeon",""
"손창민","孙畅敏","Son Chang-min",""
"손여은","孙汝恩","Son Yeo-eun",""
"최충연","崔忠然","",""
"최성민 (1995년)","崔成旻","Choi Sung-min",""
"최종현","崔锺贤","",""
"장혜진 (배우)","张慧珍","Jang Hye-jin",""
"유정 (승려)","惟政","Yujeong",""
"내 여자친구는 구미호","我的女友是九尾狐","My Girlfriend Is a Gumiho",""
"문정복","文贞福","Moon Jeong-bog",""
"문종업","文钟业","Moon Jong-up",""
"박경두","朴倞杜","Park Kyoung-doo",""
"이형민 (프로듀서)","李亨民","Lee Hyung-min",""
"이채영 (배우)","李倸英","Lee Chae-young",""
"이건준 (연출가)","李健俊","",""
"이강년 (1858년)","李康秊","",""
"이용찬 (야구 선수)","李庸灿","Lee Yong-chan",""
"이지원 (치어리더)","李智圆 (啦啦队)","",""
"임주은","林珠银","Lim Ju-eun",""
"임예진","林艺真","Im Ye-jin",""
"유현미","柳贤美","",""
"권영국","权英国","Kwon Yeong-guk",""
"권일 (1911년)","权逸","",""
"테디 (음악가)","泰迪·朴","Teddy Park",""
"백승헌 (가수)","白承宪","",""
"차세진","车世晋","",""
"차수경","车秀景","",""
"천러","辰乐","Chenle",""
"정동하","郑东河","Jung Dong-ha",""
"진솔 (가수)","郑真率","Jinsoul",""
"귀인 정씨 (성종)","郑金伊","",""
"김세원","金世媛","",""
"김규리 (1979년 8월)","金奎吏","Kim Gyu-ri (actress, born August 1979)",""
"김민우 (축구 선수)","金敃友","Kim Min-woo (footballer)",""
"김태균 (1971년)","金泰均 (1971年)","Kim Tae-gyun (baseball, born 1971)",""
"김재원 (배우)","金载沅","Kim Jaewon",""
"대한민국 헌법재판소장","韩国宪法法院院长","President of the Constitutional Court of Korea",""
"고우영","高羽荣","",""
"3·15 부정선거","1960年3月大韩民国总统选举","March 1960 South Korean presidential election",""
"아크 (음악 그룹)","ARrC (韩国组合)","ARrC",""
"유명희 (공무원)","俞明希","Yoo Myung-hee",""
"민규 (2001년)","全珉奎","",""
"유원철","刘源哲","Yoo Won-chul",""
"강철환","姜哲焕","Kang Chol-hwan",""
"강지섭","姜志燮","Kang Ji-sub",""
"강창희 (정치인)","姜昌熙","Kang Chang-hee",""
"효순왕후","孝纯王后","Queen Hyosun",""
"효현왕후","孝显王后","Queen Hyohyeon",""
"루키 (프로게이머)","宋义进","",""
"송옥숙","宋玉淑","Song Ok-sook",""
"송범근","宋范根","Song Bum-keun",""
"장현광","张显光","Chang Hyŏn'gwang",""
"성민 (1986년)","晟敏","Lee Sung-min (singer)",""
"박남규 (화학자)","朴南圭","Nam-Gyu Park",""
"박군","朴君","",""
"박지수 (축구 선수)","朴志洙","Park Ji-soo (footballer)",""
"박소연 (피겨스케이팅 선수)","朴昭娟","Park So-youn (figure skater)",""
"박정희 대통령 기념도서관","朴正熙总统纪念图书馆","",""
"박수영 (1964년)","朴洙莹","",""
"이세인","李世仁","Lee Se-in",""
"이단비 (치어리더)","李丹妃","",""
"이주열","李住烈","Lee Ju-yeol",""
"이철우 (모델)","李哲宇","",""
"이홍구 (1934년)","李洪九","Lee Hong-koo",""
"이해리","李海利","Lee Hae-ri",""
"이은샘","李银泉","Lee Eun-saem",""
"임재혁 (배우)","林在赫","Im Jae-hyuk",""
"하위지","河纬地","Ha Wiji",""
"홍석구","洪硕九","",""
"숙의 윤씨 (연산군)","淑仪尹氏 (燕山君)","",""
"전율","田庾理","",""
"노시환","卢施焕","Roh Si-hwan",""
"제일기획","第一企划","Cheil Worldwide",""
"갈소원","葛潇辕","Kal So-won",""
"도영","道英","Doyoung",""
"김인이","金仁怡","",""
"김성은 (1983년)","金成恩","Kim Sung-eun (actress, born 1983)",""
"김시아","金是儿","Kim Si-a",""
"동현 (1989년)","金东玄","Kim Dong-hyun (actor)",""
"김담민","金潭民","Kim Dam-min",""
"김연자 (배드민턴 선수)","金练子","Kim Yun-ja",""
"한민 (1995년)","韩旻","",""
"황석영","黄皙暎","Hwang Sok-yong",""
"바다 (가수)","Bada (歌手)","Bada (singer)",""
"WM 엔터테인먼트","WM娱乐","WM Entertainment",""
"정약용","丁若镛","Chŏng Yagyong",""
"세리 (가수)","世理","Serri (singer)",""
"원유진","元裕轸","",""
"유태오","刘台午","Teo Yoo",""
"오지환","吴智焕","Oh Ji-hwan",""
"강수연","姜受延","Kang Soo-yeon",""
"강경준","姜景晙","Kang Kyung-joon",""
"강하늘","姜河那","Kang Ha-neul",""
"윤지원","尹知原","",""
"윤종화 (배우)","尹钟和","",""
"최재웅","崔载雄","",""
"장지은 (배우)","张智恩","",""
"서영주","徐荣柱","Seo Young-joo",""
"시가 기요시","志贺洁","Kiyoshi Shiga",""
"박규정 (축구인)","朴奎祯","Park Kyu-chung",""
"박경렬","朴庆烈","",""
"박승연","朴承妍","",""
"이태성","李太成","Lee Tae-sung",""
"이부진","李富真","Lee Boo-jin",""
"이은실 (탁구 선수)","李恩实","Lee Eun-sil",""
"이혜영 (1971년)","李惠英 (1971年)","Lee Hye-young (actress, born 1971)",""
"이영도","李荣道","Lee Youngdo",""
"이하나","李荷娜","Lee Ha-na",""
"이레 (배우)","李蕊 (韩国演员)","Lee Re",""
"임호선","林昊宣","Lim Ho-seon",""
"현상윤","玄相允","",""
"신면","申㴐","",""
"신창석","申昌硕","",""
"우선희","禹仙姬","Woo Sun-hee",""
"수영 (1990년)","秀英 (少女时代)","Choi Soo-young",""
"조해리","赵海利","Cho Ha-ri",""
"조종도","赵宗道","",""
"조성민 (야구인)","赵成珉","Cho Sung-min",""
"변천사","边千思","Byun Chun-sa",""
"곽정욱","郭正旭","Kwak Jung-wook",""
"정재욱 (배드민턴 선수)","郑在旭","Jung Jae-wook",""
"정재형","郑在炯","Jung Jae-hyung",""
"정명희 (배드민턴 선수)","郑明熙","Chung Myung-hee",""
"김홍일 (1898년)","金弘壹","Kim Hong-il (general)",""
"김지영 (1974년)","金志映 (1974年)","Kim Ji-young (actress, born 1974)",""
"김영광 (축구인)","金永光","Kim Young-kwang (footballer, born 1983)",""
"김기해","金起楷","Kim Ki-hae",""
"김재엽","金载烨","Kim Jae-yup",""
"김웅 (정치인)","金雄 (1970年)","Kim Woong",""
"고은","高银","Ko Un",""
"제1회 전국동시지방선거","1995年大韩民国地方选举","1995 South Korean local elections",""
"전국환","全国焕","",""
"오세영 (배우)","吴世英","Oh Se-young",""
"오상식","吴相式","",""
"강수연 (연출가)","姜收妍","",""
"손완호","孙完虎","Son Wan-ho",""
"안조영","安祚永","An Cho-young",""
"윤보미","尹普美","Yoon Bo-mi",""
"최완규 (작가)","崔完圭","Choi Wan-gyu",""
"렌 (1995년)","崔珉起","Ren (South Korean singer)",""
"최윤덕","崔闰德","",""
"장동혁 (정치인)","张东赫","Jang Dong-hyeok",""
"서영우","徐英瑀","Seo Young-woo",""
"문영남","文英男","Moon Young-nam",""
"박보영","朴宝英","Park Bo-young",""
"박상민 (배우)","朴尚民","Park Sang-min (actor)",""
"박솔미","朴帅眉","Park Sol-mi",""
"박혜정 (역도 선수)","朴惠正","Park Hye-jeong",""
"박희수 (야구인)","朴熙洙","Park Hee-soo",""
"이재진 (배드민턴 선수)","李在珍","Lee Jae-jin (badminton)",""
"환조 (조선)","李子春 (元朝)","Yi Chach'un",""
"평화선","李承晚线","Syngman Rhee Line",""
"이주원 (2011년)","李柱原","Lee Joo-won",""
"이장수 (축구인)","李章洙","Lee Jang-soo",""
"유명희 (과학자)","柳明姬","Yu Myeong-Hee",""
"청계천","清溪川","Cheonggyecheon",""
"현승종","玄胜钟","Hyun Soong-jong",""
"노태엽","卢泰烨","",""
"노진혁","卢珍赫","No Jin-hyuk",""
"소향","素香","Sohyang",""
"왕꽃 선녀님","花王仙女","",""
"설정환","薛正焕","Seol Jung-hwan",""
"장바티스트 킴","让-巴蒂斯特·金","Jean-Baptiste Kim",""
"조덕현","赵德贤","",""
"정동영","郑东泳","Chung Dong-young",""
"정재성 (배우)","郑载成","",""
"김윤식 (조선귀족)","金允植","",""
"리원 (가수)","金利源","",""
"김주형 (2002년)","金周炫","Tom Kim",""
"김태희 (작가)","金泰姬","Kim Tae-hee (screenwriter)",""
"김보아","金甫娥","",""
"김예지 (1997년)","金礼志","Kim Ye-ji (actress)",""
"김미경 (1965년)","金美京 (1965年)","Kim Mi-kyung (politician)",""
"민경훈","闵庚勋","Min Kyung-hoon",""
"스파크 (드라마)","Spark (电视剧)","",""
"7일의 왕비","七日的王妃","Queen for Seven Days",""
"유의동","俞义东","Yu Eui-dong",""
"전소영 (배우)","全昭映","Jeon So-young",""
"봉석주","奉石柱","",""
"손병희","孙秉熙","Son Byong-hi",""
"안유진","安俞真","An Yu-jin",""
"윤재영","尹在荣","Yoon Jae-young",""
"윤승원 (배우)","尹承元","",""
"최인규 (1919년)","崔仁圭","Choi In-Kyu",""
"최혜인","崔惠仁","Choi Hye-in",""
"채령 (가수)","彩领","Chaeryeong",""
"지성 (가수)","志晟","Jisung",""
"경상북도지사","庆尚北道知事","Governor of North Gyeongsang Province",""
"의빈 권씨","懿嫔权氏","",""
"지안 (배우)","智眼 (演员)","",""
"유나 (2003년)","有娜","Yuna (singer, born 2003)",""
"박지현 (정당인)","朴志玹","Park Ji-hyun (politician)",""
"박유나","朴柔娜","Park You-na",""
"박상희 (1905년)","朴相熙","",""
"권필","权𫖒","",""
"이정재 (1917년)","李丁载","",""
"이신기","李信基","",""
"현재 (가수)","李在贤","",""
"이정현 (1990년)","李正贤","",""
"이예림 (1994년)","李礼琳","",""
"이관희 (연출가)","李观熙","",""
"유채란","柳海媛","Yoo Chae-ran",""
"유영은","柳英恩","Yoo Young-eun",""
"양기탁","梁起铎","Yang Kit'ak",""
"현봉식","玄奉植","Hyun Bong-sik",""
"노경은","卢景银","Noh Kyung-eun",""
"정인홍","郑仁弘","Chŏng Inhong",""
"정소영 (배우)","郑少英","",""
"정시아","郑诗雅","",""
"김철규","金哲珪","",""
"김보경 (1976년)","金宝庆","Kim Bo-kyung (actress)",""
"김문환 (축구 선수)","金纹奂","Kim Moon-hwan",""
"민병덕 (1970년)","闵炳德","",""
"육군특수전사령부","韩国陆军特战司令部","Republic of Korea Army Special Warfare Command",""
"한주엽","韩周烨","Han Ju-yeop",""
"틀:JYP 엔터테인먼트","Template:JYP娱乐","Template:JYP Entertainment",""
"틀:종현","Template:钟铉","Template:Jonghyun",""
"붐 (방송인)","Boom (艺人)","Boom (entertainer)",""
"별 (가수)","Star (韩国歌手)","Byul",""
"TS 엔터테인먼트","TS娱乐","TS Entertainment",""
"TT (노래)","TT (歌曲)","TT (song)",""
"정종복 (1954년)","丁宗福","",""
"삼선 개헌","三选改宪","",""
"이로 (가수)","加频","",""
"기동민","奇东旻","Ki Dong-min",""
"안영명","安永命","An Young-myung",""
"안현호 (배우)","安贤好","",""
"송명섭","宋明燮","Song Myeong-seob",""
"최세진 (조선)","崔世珍","Ch'oe Sejin",""
"최윤소","崔允素","Choi Yoon-so",""
"최정민 (1930년)","崔贞敏","Choi Chung-min",""
"장예은","张睿恩","Jang Ye-eun",""
"서은수","徐恩秀","Seo Eun-soo",""
"서성혁","徐成赫","",""
"내 사랑 내 곁에 (영화)","我的爱在我身边 (电影)","Closer to Heaven (film)",""
"방예담","方艺潭","Bang Ye-dam",""
"박지은 (작가)","朴智恩 (编剧)","Park Ji-eun",""
"박연미","朴研美","Yeonmi Park",""
"이재상 (연출가)","李在尚","",""
"이상순","李尚顺","",""
"이찬혁 (가수)","李灿赫","Lee Chan-hyuk",""
"이민호 (1993년 8월)","李珉镐","Lee Min-ho (baseball)",""
"이금진 (농구인)","李金真","Lee Kum-jin",""
"이종욱 (의료인)","李锺郁","Lee Jong-wook",""
"유승우 (가수)","柳升佑","Yoo Seung-woo",""
"류영경","柳永庆","",""
"정국 (가수)","柾国","Jung Kook",""
"정악","正乐","Jeongak",""
"지은성 (1991년)","池殷成","Ji Eun-sung",""
