"japanese","chinese","romaji","gender"
"松永行","松永行","Akira Matsunaga (footballer, born 1914)",""
"松登晟郎","松登晟郎","Matsunobori Shigeo",""
"栃乃若導大","栃乃若导大","Tochinowaka Michihiro",""
"森﨑浩司","森崎浩司","Kōji Morisaki",""
"渡辺秀一","渡边秀一","Hidekazu Watanabe",""
"白澤久則","白泽久则","Hisanori Shirasawa",""
"白石益代","白石益代","Masuyo Shiraishi",""
"神田勝夫","神田胜夫","Katsuo Kanda",""
"米田功","米田功","Isao Yoneda",""
"緒方耕一","绪方耕一","Koichi Ogata (baseball, born September 1968)",""
"藤井優子","藤井优子","Yuko Fujii",""
"金田真美","金田真美","Mami Kaneda",""
"双葉山定次","双叶山定次","Futabayama Sadaji",""
"飯塚翔太","饭冢翔太","Shōta Iizuka",""
"下水流昂","下水流昂","Ko Shimozuru",""
"佐藤隼輔","佐藤隼辅","Shunsuke Sato (baseball)",""
"吉田孝久","吉田孝久","Takahisa Yoshida",""
"吉田正男","吉田正男","Masao Yoshida (baseball)",""
"嘉户洋","嘉户洋","Hiroshi Kado",""
"坂井義則","坂井义则","Yoshinori Sakai",""
"大埜正雄","大埜正雄","Masao Ono",""
"大﨑雄太朗","大崎雄太朗","Yutaro Ohsaki",""
"大竹七未","大竹七未","Nami Otake",""
"奥野僚右","奥野僚右","Ryosuke Okuno",""
"宮崎百合子","宫崎百合子","Lily Miyazaki",""
"宮田由佳里","宫田由佳里","Yukari Miyata",""
"小和田敏子","小和田敏子","Toshiko Kowada",""
"小山史乃観","小山史乃观","Shinomi Koyama",""
"小野誠治","小野诚治","Seiji Ono",""
"山下まゆみ","山下麻由美","Mayumi Yamashita",""
"山本武 (家庭教師ヒットマンREBORN!)","山本武","Takeshi Yamamoto",""
"岛村一郎","岛村一郎","Ichiro Shimamura",""
"岡山恭崇","冈山恭崇","Yasutaka Okayama",""
"金城梨紗子","川井梨纱子","Risako Kinjo",""
"扇原貴宏","扇原贵宏","Takahiro Ogihara",""
"明石健志","明石健志","Kenji Akashi",""
"末綱聡子","末纲聪子","Satoko Suetsuna",""
"グレゴリー・ポランコ","格瑞戈里·波朗柯","Gregory Polanco",""
"梶谷信之","梶谷信之","Nobuyuki Kajitani",""
"永田崇","永田崇","Takashi Nagata",""
"江藤智 (野球)","江藤智 (棒球)","Akira Eto",""
"清水綾乃 (テニス選手)","清水绫乃","Ayano Shimizu",""
"王彦程","王彦程","Wang Yan-Cheng (baseball player)",""
"真砂勇介","真砂勇介","Yusuke Masago",""
"矢野良子","矢野良子","Ryoko Yano",""
"エスメルリング・バスケス","艾斯默林·巴斯克斯","Esmerling Vásquez",""
"藤平尚真","藤平尚真","Shōma Fujihira",""
"裕樹","裕树","Yuki (kickboxer)",""
"鎌田奈緒子","镰田奈绪子","Naoko Kamata",""
"長岡柚奈","长冈柚奈","Yuna Nagaoka",""
"馬場直人","马场直人","Naoto Baba",""
"高山久","高山久","Hisashi Takayama",""
"Template:東北楽天ゴールデンイーグルスの選手・スタッフ","Template:东北乐天金鹫球团球员名单","Template:Tohoku Rakuten Golden Eagles roster navbox",""
"中井大介","中井大介","Daisuke Nakai",""
"中村忠 (空手家)","中村忠","Tadashi Nakamura (martial artist)",""
"中森大介","中森大介","Daisuke Nakamori",""
"入来智","入来智","Satoshi Iriki",""
"其田秀太","其田秀太","Shuta Sonoda",""
"加藤光雄","加藤光雄","Mitsuo Kato",""
"園田啓悟","园田启悟","Keigo Sonoda",""
"塚原卜伝","冢原卜传","Tsukahara Bokuden",""
"宮本武蔵駅","宫本武藏站","Miyamoto-Musashi Station",""
"宝来麻紀子","宝来真纪子","Makiko Horai",""
"平川弘","平川弘","Hiroshi Hirakawa",""
"有馬暎夫","有马暎夫","Haruo Arima",""
"松井大輔","松井大辅","Daisuke Matsui",""
"桑原楽之","桑原乐之","Yasuyuki Kuwahara",""
"立石充男","立石充男","Mitsuo Tateishi",""
"笠原隆","笠原隆","Takashi Kasahara (footballer, born 1918)",""
"篠島秀雄","筿岛秀雄","Hideo Shinojima",""
"鈴木重義 (サッカー選手)","铃木重义 (足球运动员)","Shigeyoshi Suzuki",""
"上野展裕","上野展裕","Nobuhiro Ueno",""
"丸茂圭衣","丸茂圭衣","Kei Marumo",""
"伊東甲子太郎","伊东甲子太郎","Itō Kashitarō",""
"嘉村健士","嘉村健士","Takeshi Kamura",""
"安田理大","安田理大","Michihiro Yasuda",""
"寺本明日香","寺本明日香","Asuka Teramoto",""
"小笠原歩","小笠原步","Ayumi Ogasawara",""
"山根恵里奈","山根惠里奈","Erina Yamane",""
"岡本久敬","冈本久敬","Hisataka Okamoto",""
"川村丈夫","川村丈夫","Takeo Kawamura (baseball)",""
"木田優夫","木田优夫","Masao Kida",""
"杉山賢人","杉山贤人","Kento Sugiyama",""
"村田修一","村田修一","Shuichi Murata",""
"植芝吉祥丸","植芝吉祥丸","Kisshomaru Ueshiba",""
"清水川元吉","清水川元吉","Shimizugawa Motokichi",""
"渡辺由一","渡边由一","Yoshiichi Watanabe",""
"狩野舞子","狩野舞子","Maiko Kano",""
"田中賢介","田中贤介","Kensuke Tanaka",""
"直木和","直木和","Kazu Naoki",""
"石井正忠","石井正忠","Masatada Ishii",""
"西野朗","西野朗","Akira Nishino (footballer)",""
"鈴木亜久里","铃木亚久里","Aguri Suzuki",""
"駒田徳広","驹田德广","Norihiro Komada",""
"高田ありさ","高田亚璃纱","Arisa Takada",""
"マイケル・ボウデン","麦克·鲍登","Michael Bowden (baseball)",""
"三橋亜記","三桥亚记","Aki Mitsuhashi",""
"中道瞳","中道瞳","Hitomi Nakamichi",""
"丸山桂里奈","丸山桂里奈","Karina Maruyama",""
"今中慎二","今中慎二","Shinji Imanaka",""
"加藤好男","加藤好男","Yoshio Kato",""
"孫基禎","孙基祯","Sohn Kee-chung",""
"小松聖","小松圣","Satoshi Komatsu",""
"山崎裕之","山崎裕之","Hiroyuki Yamazaki",""
"平岡卓","平冈卓","Taku Hiraoka",""
"我孫子智美","我孙子智美","Tomomi Abiko",""
"早川賢一","早川贤一","Kenichi Hayakawa",""
"木村和司","木村和司","Kazushi Kimura",""
"森友哉","森友哉","Tomoya Mori",""
"横山謙三","横山谦三","Kenzo Yokoyama",""
"江上綾乃","江上绫乃","Ayano Egami",""
"江夏豊","江夏丰","Yutaka Enatsu",""
"沢村栄治","泽村荣治","Eiji Sawamura",""
"矢野貴章","矢野贵章","Kisho Yano",""
"石浦鹿介","石浦将胜","Ishiura Shikanosuke",""
"福留亮","福留亮","Ryo Fukudome",""
"蝶野正洋","蝶野正洋","Masahiro Chono",""
"遠藤彰弘","远藤彰弘","Akihiro Endō",""
"都築龍太","都筑龙太","Ryōta Tsuzuki",""
"阿部真宏","阿部真宏","Masahiro Abe",""
"大豊泰昭","陈大丰","Yasuaki Taiho",""
"佐田の海貴士","佐田之海贵士","Sadanoumi Takashi",""
"前田勝宏","前田胜宏","Katsuhiro Maeda",""
"加藤大輔","加藤大辅","Daisuke Kato (baseball)",""
"城島健司","城岛健司","Kenji Johjima",""
"大久保剛志","大久保刚志","Goshi Okubo",""
"宮本真理","宫本真理","Mari Miyamoto",""
"小澤純子","小泽纯子","Junko Ozawa",""
"峰幸代","峰幸代","Yukiyo Mine",""
"新井茂雄","新井茂雄","Shigeo Arai",""
"星千智","星千智","Chisato Hoshi",""
"星孝典","星孝典","Takanori Hoshi",""
"李栄直","李荣直","Ri Yong-jik",""
"松永信夫","松永信夫","Nobuo Matsunaga",""
"森山佳郎","森山佳郎","Yoshiro Moriyama",""
"池田敬子","池田敬子","Keiko Tanaka-Ikeda",""
"トーマス・オマリー","汤玛斯·欧马利","Tom O'Malley",""
"瀬戸大也","濑户大也","Daiya Seto",""
"アフロサムライ","爆炸头武士","Afro Samurai",""
"片岡安祐美","片冈安祐美","Ayumi Kataoka",""
"福島千里","福岛千里","Chisato Fukushima",""
"興梠慎三","兴梠慎三","Shinzō Kōroki",""
"フィル・コーク","菲尔·科克","Phil Coke",""
"藤島信雄","藤岛信雄","Nobuo Fujishima",""
"谷亮子","谷亮子","Ryoko Tani",""
"野田明宏","野田明宏","Tomohiro Noda",""
"陽岱鋼","阳岱钢","Dai-Kang Yang",""
"青木真也","青木真也","Shinya Aoki",""
"ヴィクトル・スタルヒン","须田博","Victor Starffin",""
"三原舞依","三原舞依","Mai Mihara",""
"佐藤長栄","佐藤长荣","Choei Sato",""
"内藤克俊","内藤克俊","Katsutoshi Naito",""
"古俣健次","古俣健次","Kenji Komata",""
"坂元要介","坂元要介","Yosuke Sakamoto",""
"小関也朱篤","小关也朱笃","Yasuhiro Koseki",""
"山下泰裕","山下泰裕","Yasuhiro Yamashita",""
"山内一典","山内一典","Kazunori Yamauchi",""
"山口舞","山口舞","Mai Yamaguchi",""
"岩渕真奈","岩渊真奈","Mana Iwabuchi",""
"川西隆","川西隆","Takashi Kawanishi",""
"ブラッド・ペニー","布拉德·佩尼","Brad Penny",""
"新井信男","新井信男","Nobuo Arai",""
"松田英樹","松田英树","Hideki Matsuda",""
"板東英二","板东英二","Eiji Bandō",""
"林英傑","林英杰 (棒球运动员)","Lin Ying-chieh",""
"河西昌枝","河西昌枝","Masae Kasai",""
"漆﨑真子","漆崎真子","Mako Urushizaki",""
"藤代伸世","藤代伸世","Nobuyo Fujishiro",""
"藤本英雄","藤本英雄","Hideo Fujimoto",""
"長谷部茂利","长谷部茂利","Shigetoshi Hasebe",""
"髙橋信二","高桥信二","Shinji Takahashi (baseball)",""
"鶴田義行","鹤田义行","Yoshiyuki Tsuruta",""
"佐藤康之","佐藤康之","Yasuyuki Sato",""
"南村侑広","南村侑广","Yuko Minamimura",""
"巻加理奈","卷加理奈","Karina Maki",""
"吉田麻也","吉田麻也","Maya Yoshida",""
"夏木陽介","夏木阳介","Yosuke Natsuki",""
"宇佐美貴史","宇佐美贵史","Takashi Usami",""
"ジョージ小林","小林乔治","George Kobayashi",""
"広瀬治","广濑治","Osamu Hirose",""
"影山雅永","影山雅永","Masanaga Kageyama",""
"成山裕治","成山裕治","Yuji Nariyama",""
"村上和基","村上和基","Kazuki Murakami (diver)",""
"東尾修","东尾修","Osamu Higashio",""
"柱谷哲二","柱谷哲二","Tetsuji Hashiratani",""
"桐野利秋","桐野利秋","Kirino Toshiaki",""
"玉井操","玉井操","Misao Tamai",""
"田中理恵 (体操選手)","田中理惠 (体操运动员)","Rie Tanaka (gymnast)",""
"田淵幸一","田渊幸一","Kōichi Tabuchi",""
"白嗟承","白嗟承","Cha-seung Baek",""
"兼本正光","兼本正光","Masamitsu Kanemoto",""
"寺岡孝","寺冈孝","Takashi Teraoka",""
"小坂誠","小坂诚","Makoto Kosaka",""
"小平花織","小平花织","Kaori Kodaira",""
"小泉淳嗣","小泉淳嗣","Junji Koizumi",""
"小畑穣","小畑穰","Minoru Kobata",""
"山崎敏","山崎敏","Satoshi Yamazaki",""
"川又堅碁","川又坚碁","Kengo Kawamata",""
"望月豊仁","望月丰仁","Toyohito Mochizuki",""
"森徹","森彻","Tōru Mori",""
"森正明","森正明","Masaaki Mori",""
"武藤雄樹","武藤雄树","Yuki Muto",""
"波形純理","波形纯理","Junri Namigata",""
"湯口栄蔵","汤口荣藏","Eizo Yuguchi",""
"田中裕介","田中裕介","Yusuke Tanaka (footballer, born April 1986)",""
"福盛和男","福盛和男","Kazuo Fukumori",""
"菅野将晃","菅野将晃","Masaaki Kanno",""
"蓮見知弘","莲见知弘","Tomohiro Hasumi",""
"藤ヶ谷陽介","藤谷阳介","Yōsuke Fujigaya",""
"西脇美智子","西脇美智子","Michiko Nishiwaki",""
"三浦大輔","三浦大辅","Daisuke Miura",""
"中村行成","中村行成","Yukimasa Nakamura",""
"五十嵐千尋","五十岚千寻","Chihiro Igarashi",""
"今村博治","今村博治","Hiroji Imamura",""
"伊藤翔","伊藤翔","Sho Ito",""
"吉田暢","吉田畅","Toru Yoshida",""
"坂本勇人","坂本勇人","Hayato Sakamoto",""
"安英学","安英学","An Yong-hak",""
"小林良美","小林良美","Yoshimi Kobayashi",""
"山本博 (アーチェリー選手)","山本博 (射箭选手)","Hiroshi Yamamoto (archer)",""
"岩原豊子","岩原丰子","Toyoko Iwahara",""
"ラファエル・ベタンコート","拉斐尔·贝当古","Rafael Betancourt",""
"池永正明","池永正明","Masaaki Ikenaga",""
"河原和寿","河原和寿","Kazuhisa Kawahara (footballer)",""
"渡辺正","渡边正","Masashi Watanabe",""
"瀬古利彦","濑古利彦","Toshihiko Seko",""
"秋田豊","秋田丰","Yutaka Akita",""
"花田虎上","花田虎上","Wakanohana Masaru",""
"西澤明訓","西泽明训","Akinori Nishizawa",""
"酒井夏海","酒井夏海","Natsumi Sakai (swimmer)",""
"阪口真紀","阪口真纪","Maki Sakaguchi",""
"三菱電機","三菱电机","Mitsubishi Electric",""
"不破整","不破整","Sei Fuwa",""
"中西貴映","中西贵映","Kie Nakanishi",""
"保原彩夏","保原彩夏","Sayaka Hobara",""
"力道山 (映画)","力道山 (电影)","Rikidōzan (film)",""
"北岡悟","北冈悟","Satoru Kitaoka",""
"千代大海龍二","千代大海龙二","Chiyotaikai Ryūji",""
"堀井学","堀井学","Manabu Horii",""
"大石隆夫","大石隆夫","Takao Oishi",""
"大野俊三 (サッカー選手)","大野俊三","Shunzo Ono",""
"オレステス・デストラーデ","奥雷斯帝·迪斯多兰","Orestes Destrade",""
"島田大輝","岛田大辉","Taiki Shimada",""
"市川友也 (野球)","市川友也","Tomoya Ichikawa",""
"斎藤春香","斋藤春香","Haruka Saito",""
"昌子源","昌子源","Gen Shoji",""
"明瀬山光彦","明濑山光彦","Akiseyama Mitsuhiko",""
"村松大輔","村松大辅","Taisuke Muramatsu",""
"横山久美","横山久美","Kumi Yokoyama",""
"清水愛","清水爱","Ai Shimizu",""
"渡部勝美","渡部胜美","Katsumi Watanabe",""
"田中浩康","田中浩康","Hiroyasu Tanaka",""
"田中聡子","田中聪子","Satoko Tanaka",""
"真田雅則","真田雅则","Masanori Sanada",""
"石川駿","石川骏","Shun Ishikawa",""
"福原愛","福原爱","Ai Fukuhara",""
"西山麗","西山丽","Rei Nishiyama",""
"足立光宏","足立光宏","Mitsuhiro Adachi",""
"飯島寿久","饭岛寿久","Kazuhisa Iijima",""
"高山鈴江","高山铃江","Suzue Takayama",""
"上村健一","上村健一","Kenichi Uemura",""
"中野弘幸","中野弘幸","Hiroyuki Nakano (athlete)",""
"今井敏明","今井敏明","Toshiaki Imai",""
"内村航平","内村航平","Kōhei Uchimura",""
"原博実","原博实","Hiromi Hara",""
"大津祐樹","大津祐树","Yūki Ōtsu",""
"大田泰示","大田泰示","Taishi Ohta",""
"天谷宗一郎","天谷宗一郎","Sohichiro Amaya",""
"小林泉美 (棋士)","小林泉美","Izumi Kobayashi",""
"尾上恵生","尾上惠生","Shigeo Onoue",""
"廣長優志","广长优志","Yuji Hironaga",""
"新明正広","新明正广","Masahiro Shimmyo",""
"松中信彦","松中信彦","Nobuhiko Matsunaka",""
"柳生宗厳","柳生宗严","Yagyū Munetoshi",""
"武藤敬司","武藤敬司","Keiji Muto",""
"牧野伸顕","牧野伸显","Makino Nobuaki",""
"細川忠利","细川忠利","Hosokawa Tadatoshi",""
"西政治","西政治","Masaharu Nishi",""
"都並敏史","都并敏史","Satoshi Tsunami",""
"酒井勉","酒井勉","Tsutomu Sakai",""
"野村豊和","野村丰和","Toyokazu Nomura",""
"髙橋大輔 (フィギュアスケート選手)","高桥大辅","Daisuke Takahashi",""
"三谷美菜津","三谷美菜津","Minatsu Mitani",""
"今野泰幸","今野泰幸","Yasuyuki Konno",""
"加藤貴之 (野球)","加藤贵之","Takayuki Katoh",""
"呉昇桓","吴升桓","Seung-hwan Oh",""
"大石尚哉","大石尚哉","Takaya Oishi",""
"大迫勇也","大迫勇也","Yuya Osako",""
"宮原知子","宫原知子","Satoko Miyahara",""
"岡野俊一郎","冈野俊一郎","Shunichiro Okano",""
"工藤隆人","工藤隆人","Takahito Kudo",""
"本田長康","本田长康","Nagayasu Honda",""
"松永碩","松永硕","Seki Matsunaga",""
"桂秀樹","桂秀树","Hideki Katsura",""
"横内昭展","横内昭展","Akinobu Yokouchi",""
"桜木ジェイアール","樱木JR","J. R. Sakuragi",""
"エスクデロ競飛王","沙治奥·艾斯古迪路 (1988年)","Sergio Escudero (footballer, born 1988)",""
"浅田舞","浅田舞","Mai Asada",""
"田辺陽子","田边阳子","Yoko Tanabe",""
"白仁天","白仁天","Baek In-chun",""
"篠田正浩","筿田正浩","Masahiro Shinoda",""
"ゲーリー・ラス","盖瑞·拉斯","Gary Rath",""
"阿波野秀幸","阿波野秀幸","Hideyuki Awano",""
"伊達公子","伊达公子","Kimiko Date",""
"冨樫剛一","冨㭴刚一","Koichi Togashi",""
"反町康治","反町康治","Yasuharu Sorimachi",""
"小桧山雅仁","小桧山雅仁","Masahito Kohiyama",""
"岩田稔","岩田稔","Minoru Iwata",""
"ブラッド・トーマス","布拉德·汤玛斯","Brad Thomas (baseball)",""
"新井健二","新井健二","Kenji Arai",""
"朝倉保","朝仓保","Tamotsu Asakura",""
"松橋力蔵","松桥力藏","Rikizo Matsuhashi",""
"森上亜希子","森上亚希子","Akiko Morigami",""
"橋本到","桥本到","Itaru Hashimoto",""
"橋本真也","桥本真也","Shinya Hashimoto",""
"池田司信","池田司信","Shinobu Ikeda",""
"海本慶治","海本庆治","Keiji Kaimoto",""
"相馬崇人","相马崇人","Takahito Soma",""
"羽生結弦","羽生结弦","Yuzuru Hanyu",""
"胤栄","胤荣","Hōzōin In'ei",""
"護廷十三隊","护廷十三队","Gotei 13",""
"郭李建夫","郭李建夫","Kuo Lee Chien-fu",""
"隠善智也","隐善智也","Tomoya Inzen",""
"中村剛也","中村刚也","Takeya Nakamura",""
"中森智佳子","中森智佳子","Chikako Nakamori",""
"今村優香","今村优香","Yūka Imamura",""
"佐藤昌吉","佐藤昌吉","Shokichi Sato",""
"スティーブン・モヤ","史蒂文·莫亚","Steven Moya",""
"嘉納治五郎","嘉纳治五郎","Kanō Jigorō",""
"大杉勝男","大杉胜男","Katsuo Osugi",""
"奥村展征","奥村展征","Nobuyuki Okumura",""
"アンディ・バンヘッケン","安迪·范亨肯","Andy Van Hekken",""
"小山伸一郎","小山伸一郎","Shinichiro Koyama",""
"川口和久","川口和久","Kazuhisa Kawaguchi",""
"川口悠子","川口悠子","Yuko Kavaguti",""
"川崎亜沙美","川崎亚沙美","Asami Kawasaki",""
"式田高義","式田高义","Takayoshi Shikida",""
"徳永悠平","德永悠平","Yūhei Tokunaga",""
"村田諒太","村田谅太","Ryōta Murata",""
"松岡修造","松冈修造","Shuzo Matsuoka",""
"梶原一騎","梶原一骑","Ikki Kajiwara",""
"森敦彦","森敦彦","Atsuhiko Mori",""
"永留かおる","永留香","Kaoru Nagadome",""
"田中裕人","田中裕人","Hiroto Tanaka",""
"福万尚子","福万尚子","Naoko Fukuman",""
"茂庭照幸","茂庭照幸","Teruyuki Moniwa",""
"谷口博之","谷口博之","Hiroyuki Taniguchi",""
"ベイカー茉秋","贝克茉秋","Mashu Baker",""
"髙山樹里","高山树里","Juri Takayama",""
"高野進","高野进","Susumu Takano",""
"三口智也","三口智也","Tomoya Miguchi",""
"三浦淳寛","三浦淳宽","Atsuhiro Miura",""
"丸岡満","丸冈满","Mitsuru Maruoka",""
"丹下左膳","丹下左膳","Tange Sazen",""
"古賀輝","古贺辉","Akira Koga",""
"スコット・マシソン","史考特·马锡森","Scott Mathieson",""
"吉田悟","吉田悟","Satoru Yoshida",""
"坂井一将","坂井一将","Kazumasa Sakai",""
"小池秀郎","小池秀郎","Hideo Koike",""
"小見幸隆","小见幸隆","Yukitaka Omi",""
"志田光","志田光","Hikaru Shida",""
"春山泰雄","春山泰雄","Yasuo Haruyama",""
"柴田善臣","柴田善臣","Yoshitomi Shibata",""
"牲川歩見","牲川步见","Ayumi Niekawa",""
"細貝萌","细贝萌","Hajime Hosogai",""
"藤本淳吾","藤本淳吾","Jungo Fujimoto",""
"金成汗","金成杆","Kim Sung-gan",""
"金栗四三","金栗四三","Shizo Kanakuri",""
"青木宣親","青木宣亲","Nori Aoki",""
"高橋礼華 (バドミントン選手)","高桥礼华","Ayaka Takahashi",""
"黒須成美","黑须成美","Narumi Kurosu",""
"下村幸男","下村幸男","Yukio Shimomura",""
"中田英寿","中田英寿","Hidetoshi Nakata",""
"則武謙","则武谦","Ken Noritake",""
"大橋謙三","大桥谦三","Kenzo Ohashi",""
"小野喬","小野乔","Takashi Ono (gymnast)",""
"川口能活","川口能活","Yoshikatsu Kawaguchi",""
"徳川義直","德川义直","Tokugawa Yoshinao",""
"打田しづか","打田志津","Shizuka Uchida",""
"星野真澄","星野真澄","Masumi Hoshino",""
"権田修一","权田修一","Shūichi Gonda",""
"松永成立","松永成立","Shigetatsu Matsunaga",""
"肥塚一晃","肥冢一晃","Kazuaki Koezuka",""
"里崎智也","里崎智也","Tomoya Satozaki",""
"鎌田光夫","镰田光夫","Mitsuo Kamata",""
"陳冠宇","陈冠宇","Chen Kuan-yu",""
"久保恵美子","久保惠美子","Emiko Kubo",""
"伊藤直司","伊藤直司","Naoji Ito",""
"佐藤由希","佐藤由希","Yuki Sato (softball)",""
"保木卓朗","保木卓朗","Takuro Hoki",""
"吉田節子","吉田节子","Setsuko Yoshida",""
"安藤美佐子","安藤美佐子","Misako Ando",""
"宮里藍","宫里蓝","Ai Miyazato",""
"山縣亮太","山县亮太","Ryota Yamagata",""
"ブランドン・ディクソン","布兰登·狄克森","Brandon Dickson",""
"志々目徹","志志目彻","Toru Shishime",""
"志田千陽","志田千阳","Chiharu Shida",""
"栗山英樹","栗山英树","Hideki Kuriyama",""
"武豊","武丰","Yutaka Take",""
"比嘉リカルド","比嘉列卡度","Rikarudo Higa",""
"永江恭平","永江恭平","Kyohei Nagae",""
"池江璃花子","池江璃花子","Rikako Ikee",""
"ファビオ・カスティーヨ","法比奥·卡斯蒂略","Fabio Castillo",""
"パット・ミッシュ","派特·米施","Pat Misch",""
"沢田謙太郎","泽田谦太郎","Kentaro Sawada",""
"生駒友彦","生驹友彦","Tomohiko Ikoma",""
"白鳥公子","白鸟公子","Kimiko Shiratori",""
"知花朝信","知花朝信","Chōshin Chibana",""
"石井茂巳","石井茂巳","Shigemi Ishii",""
"立川新","立川新","Arata Tatsukawa",""
"荒木茜羽","荒木茜羽","Akane Araki",""
"菊地原毅","菊地原毅","Tsuyoshi Kikuchihara",""
"鄉司弘和","乡司弘和","Hirokazu Goshi",""
"香月良太","香月良太","Ryota Katsuki",""
"高木守道","高木守道","Morimichi Takagi",""
"高橋繁浩","高桥繁浩","Shigehiro Takahashi",""
"高田繁","高田繁","Shigeru Takada",""
"伊東一刀斎","伊东一刀斋","Itō Ittōsai",""
"伊藤壇","伊藤坛","Dan Ito",""
"ジェイ・リザーランド","杰·列达兰","Jay Litherland",""
"北嶋秀朗","北嶋秀朗","Hideaki Kitajima",""
"右近徳太郎","右近德太郎","Tokutaro Ukon",""
"坂本直子 (ソフトボール)","坂本直子","Naoko Sakamoto (softball)",""
"堀池巧","堀池巧","Takumi Horiike",""
"大久保嘉人","大久保嘉人","Yoshito Ōkubo",""
"平井克典","平井克典","Katsunori Hirai",""
"スコット・アッチソン","斯科特·艾奇森","Scott Atchison",""
"木戸孝允","木户孝允","Kido Takayoshi",""
"本部朝勇","本部朝勇","Motobu Chōyū",""
"武田翔太","武田翔太","Shota Takeda",""
"武蔵丸光洋","武藏丸光洋","Musashimaru Kōyō",""
"源純夏","源纯夏","Sumika Minamoto",""
"王新朝喜","王新朝喜","Asako O",""
"真下佐登史","真下佐登史","Satoshi Mashimo",""
"石橋義三","石桥义三","Yoshimi Ishibashi",""
"羽座妃粋","羽座妃粹","Hisui Haza",""
"西本拳太","西本拳太","Kenta Nishimoto",""
"豊川雄太","丰川雄太","Yuta Toyokawa",""
"金子誠","金子诚","Makoto Kaneko (baseball)",""
"金永基","金永基","Kim Yeong-gi",""
"飯田徳治","饭田德治","Tokuji Iida",""
"齊藤夕眞","齐藤茜","Akane Saito",""
"丸谷清之介","丸谷清之介","Kiyonosuke Marutani",""
"内田智也","内田智也","Tomoya Uchida",""
"出町豊","出町丰","Yutaka Demachi",""
"北の湖敏満","北之湖敏满","Kitanoumi Toshimitsu",""
"和田豊","和田丰","Yutaka Wada",""
"土田尚史","土田尚史","Hisashi Tsuchida",""
"坪井慶介","坪井庆介","Keisuke Tsuboi",""
"大乃国康","大乃国康","Ōnokuni Yasushi",""
"山本由佳理","山本由佳理","Yukari Yamamoto",""
"川中香緖里","川中香绪里","Kaori Kawanaka",""
"幕末の四大人斬り","幕末四大人斩","Four Hitokiri of the Bakumatsu",""
"平沢大河","平泽大河","Taiga Hirasawa",""
"後藤太郎","后藤太郎","Taro Goto",""
"後藤武敏","后藤武敏","Taketoshi Goto",""
"李恵践","李惠践","Lee Hei-chun",""
"松本暁司","松本晓司","Gyoji Matsumoto",""
"橋本帆乃香","桥本帆乃香","Honoka Hashimoto",""
"正田耕三","正田耕三","Kozo Shoda",""
"渡辺佳孝","渡边佳孝","Yoshitaka Watanabe",""
"田辺和彦","田边和彦","Kazuhiko Tanabe",""
"藤森由香","藤森由香","Yuka Fujimori",""
"西本哲雄","西本哲雄","Tetsuo Nishimoto",""
"長澤和明","长泽和明","Kazuaki Nagasawa",""
"長田秀一郎","长田秀一郎","Shuichiro Osada",""
"高樹沙耶","高树沙耶","Saya Takagi",""
"黒部光昭","黑部光昭","Teruaki Kurobe",""
"坂田遼","坂田辽","Ryo Sakata",""
"大島杏子","大岛杏子","Kyoko Oshima",""
"安藤美姫","安藤美姬","Miki Ando",""
"宮田孝治","宫田孝治","Koji Miyata",""
"小川龍也","小川龙也","Ryuya Ogawa",""
"工藤壮人","工藤壮人","Masato Kudo",""
"平瀬智行","平濑智行","Tomoyuki Hirase",""
"明神智和","明神智和","Tomokazu Myojin",""
"清武弘嗣","清武弘嗣","Hiroshi Kiyotake",""
"箕輪義信","箕轮义信","Yoshinobu Minowa",""
"藤本主税","藤本主税","Chikara Fujimoto",""
"野村貢","野村贡","Mitsugu Nomura",""
"鈴木正治","铃木正治","Masaharu Suzuki",""
"鈴木聡美","铃木聪美","Satomi Suzuki",""
"鹿島丈博","鹿岛丈博","Takehiro Kashima",""
"三宅諒","三宅谅","Ryo Miyake",""
"中山雄太","中山雄太","Yūta Nakayama",""
"中嶋悟","中嶋悟","Satoru Nakajima",""
"中田賢一","中田贤一","Kenichi Nakata",""
"前園真聖","前园真圣","Masakiyo Maezono",""
"大場健史","大场健史","Kenji Oba",""
"奈良林寛紀","奈良林宽纪","Hiroki Narabayashi",""
"實松一成","实松一成","Kazunari Sanematsu",""
"山下敬吾","山下敬吾","Keigo Yamashita",""
"広澤克実","广泽克实","Katsumi Hirosawa",""
"法華津寛","法华津宽","Hiroshi Hoketsu",""
"田中雍和","田中雍和","Yasukazu Tanaka",""
"田口禎則","田口祯则","Yoshinori Taguchi",""
"田臥勇太","田卧勇太","Yuta Tabuse",""
"笠原洋子","笠原洋子","Yōko Kasahara",""
"荻野忠寛","荻野忠宽","Tadahiro Ogino",""
"袴田巌","袴田岩","Iwao Hakamata",""
"長谷川祥之","长谷川祥之","Yoshiyuki Hasegawa",""
"高橋秀人","高桥秀人","Hideto Takahashi",""
"斉藤和夫","齐藤和夫","Kazuo Saito",""
"三木佑里子","三木佑里子","Yuriko Miki",""
"三浦泰年","三浦泰年","Yasutoshi Miura",""
"中野希望","佐藤希望","Nozomi Satō",""
"内山靖崇","内山靖崇","Yasutaka Uchiyama",""
"初瀬亮","初濑亮","Ryō Hatsuse",""
"加藤恒平","加藤恒平","Kohei Kato",""
"北本綾子","北本绫子","Ayako Kitamoto",""
