"japanese","chinese","romaji","gender"
"ブライアン・ウルフ","布莱恩·沃尔夫","Brian Wolfe",""
"广上瑠依","广上瑠依","Rui Hirokami",""
"廣岡大志","广冈大志","Taishi Hirooka",""
"村元哉中","村元哉中","Kana Muramoto",""
"松本弥生","松本弥生","Yayoi Matsumoto",""
"桑田隆幸","桑田隆幸","Takayuki Kuwata",""
"森さやか (ソフトボール)","森沙耶香","Sayaka Mori",""
"横山樹理","横山树理","Juri Yokoyama",""
"永島昭浩","永岛昭浩","Akihiro Nagashima",""
"池田駿","池田骏","Shun Ikeda",""
"澤野大地","泽野大地","Daichi Sawano",""
"浦田尚希","浦田尚希","Naoki Urata",""
"浅尾拓也","浅尾拓也","Takuya Asao",""
"猪谷千春","猪谷千春","Chiharu Igaya",""
"石川慎吾","石川慎吾","Shingo Ishikawa",""
"立花美哉","立花美哉","Miya Tachibana",""
"芝野虎丸","芝野虎丸","Toramaru Shibano",""
"荒篤山太郎","荒笃山太郎","Kōtokuzan Tarō",""
"西大伍","西大伍","Daigo Nishi",""
"金刃憲人","金刃宪人","Norihito Kaneto",""
"上尾野辺めぐみ","上尾野边惠","Megumi Kamionobe",""
"井端弘和","井端弘和","Hirokazu Ibata",""
"前畑秀子","前畑秀子","Hideko Maehata",""
"奈良岡功大","奈良冈功大","Kodai Naraoka",""
"寺田紳一","寺田绅一","Shinichi Terada",""
"小久保裕紀","小久保裕纪","Hiroki Kokubo",""
"小野真由美","小野真由美","Mayumi Ono (field hockey)",""
"志治達雄","志治达雄","Tatsuya Shiji",""
"日本プロレス","日本职业摔角协会","Japan Pro Wrestling Alliance",""
"松井清隆","松井清隆","Kiyotaka Matsui",""
"田中達也 (1982年生のサッカー選手)","田中达也","Tatsuya Tanaka (footballer, born 1982)",""
"石川直宏","石川直宏","Naohiro Ishikawa",""
"福井誠 (競泳選手)","福井诚","Makoto Fukui",""
"稲垣博行","稻垣博行","Hiroyuki Inagaki",""
"荒川静香","荒川静香","Shizuka Arakawa",""
"衣笠祥雄","衣笠祥雄","Sachio Kinugasa",""
"谷川航","谷川航","Wataru Tanigawa",""
"高田寿典","高田寿典","Hisanori Takada",""
"亀川諒史","龟川谅史","Masashi Kamekawa",""
"五十嵐有紗","五十岚有纱","Arisa Igarashi",""
"井上敏明","井上敏明","Toshiaki Inoue",""
"井上晴哉","井上晴哉","Seiya Inoue (baseball)",""
"塚田真希","冢田真希","Maki Tsukada",""
"小林可夢偉","小林可梦伟","Kamui Kobayashi",""
"小林里歌子","小林里歌子","Rikako Kobayashi",""
