"russian","chinese","gender"
"Елена Приданкина","叶连娜·普里丹金娜",""
"Кийлыбай Медеубеков","基利拜·梅杜别科夫",""
"Олег Джафаров","奥列格·贾法罗夫",""
"Андрей Бакич","安德烈·斯捷潘诺维奇·巴奇赤",""
"Андрей Шувалов","安德烈·舒瓦洛夫",""
"Юрий Тютюнник","尤里·秋琼尼克",""
"Нина Грузинцева","尼娜·格鲁津采娃",""
"Павел Бажов","帕维尔·巴若夫",""
"Павел Сухой","帕维尔·苏霍伊",""
"Владислав Листьев","弗拉季斯拉夫·利斯捷夫",""
"Владимир Набоков","弗拉迪米尔·纳博可夫",""
"Дмитрий Аверов","德米特里·阿韦罗夫",""
"Дубровский (роман)","杜布罗夫斯基",""
"Эдуард Кузнецов","爱德华·阿纳托利耶维奇·库兹涅佐夫",""
"Детство. В людях. Мои университеты","童年，在人间，我的大学",""
"Михаил Жаров","米哈伊尔·扎罗夫",""
"Михаил Бахтин","米哈伊尔·米哈伊洛维奇·巴赫京",""
"Мирсаид Султан-Галиев","米尔赛德·苏丹-加里耶夫",""
"Виктор Луи","维克多·路易斯 (记者)",""
"Назар Матчанов","纳扎尔·马恰诺夫",""
"Вячеслав Липинский","维亚切斯拉夫·利平斯基",""
"Виктор Дзюба","维克托·久巴",""
"Виктор Черномырдин","维克托·切尔诺梅尔金",""
"Список послов СССР и России в КНДР","苏联和俄罗斯驻朝鲜大使列表",""
"Мотеюс Шумаускас","莫捷尤斯·舒毛斯卡斯",""
"Самбадондогийн Цэрэндорж","萨巴栋多·策仁道尔吉",""
"Сергей Соболев","谢尔盖·索伯列夫",""
"Сергей Соловьёв","谢尔盖·阿纳托利耶维奇·索洛维约夫",""
"Алексей Гончаренко","阿列克西·贡恰连科",""
"Африкан Шпир","阿夫里坎·斯皮尔",""
"Артём Дзюба","阿尔乔姆·久巴",""
"Анатолий Чемодуров","阿纳托利·切莫杜罗夫",""
"Борис Спасский","鲍里斯·斯帕斯基",""
"Борис Егоров","鲍里斯·鲍里索维奇·叶戈罗夫",""
"Саммит Россия — США на Аляске (2025)","2025年俄美峰会",""
"принц Вальдемар","丹麦的瓦尔德玛王子",""
"Александр Богомолец","亚历山大·博戈莫列茨",""
"Александр Островский","亚历山大·尼古拉耶维奇·奥斯特洛夫斯基",""
"Иван Микитенко","伊万·米基坚科",""
"Иван Шишкин","伊凡·希施金",""
"Игорь Мищенко","伊戈尔·季霍诺维奇·米先科",""
"Ирина Панькина","伊琳娜·潘金娜",""
"Леонид Кизим","列昂尼德·基济姆",""
"Леонид Попов","列昂尼德·波波夫",""
"Карл XIV Юхан","卡尔十四世·约翰",""
"Фонд борьбы с коррупцией","反腐败基金会",""
"Евгений Нужин","叶夫根尼·努任",""
"Евгений Садовый","叶夫根尼·萨多夫伊",""
"Турдакун Усубалиев","图尔达昆·乌苏巴利耶夫",""
"Эндель Пусэп","安德·普赛普",""
"Юрий Гидзенко","尤里·吉德津科",""
"Юрий Арцутанов","尤里·阿尔楚塔诺夫",""
"Николай Игнатов","尼古拉·伊格纳托夫",""
"Николай Галахов","尼古拉·卡拉霍夫",""
"Николай Ватутин","尼古拉·瓦图京",""
"Константин Паустовский","康斯坦丁·帕乌斯托夫斯基",""
"Владимир Рубин","弗拉基米尔·鲁宾",""
"Пётр Войков","彼得·沃伊科夫",""
"Дмитрий Варшалович","德米特里·瓦尔沙洛维奇",""
"Дмитрий Саблин","德米特里·萨布林",""
"Дмитрий Рябышев","德米特里·里亚贝舍夫",""
"Лана (певица)","拉娜",""
"Лариса Буранова","拉里莎·布拉诺娃",""
"Прокопий Ляпунов","普罗科皮·彼得罗维奇·利亚普诺夫",""
"Григорий Неуймин","格里戈里·涅维明",""
"Содружество Независимых Государств","独立国家联合体",""
"Василий Верещагин","瓦西里·韦列夏金",""
"Пятрас Гришкявичюс","皮亚特拉斯·格里什基亚维丘斯",""
"Спящая красавица (балет)","睡美人 (芭蕾舞剧)",""
"2-я гвардейская мотострелковая дивизия","第2近卫塔曼摩托化步兵师",""
"Ромас Убартас","罗马斯·乌巴塔斯",""
"Иосиф Слипый","若瑟·斯礼皮",""
