"russian","chinese","gender"
"Того Хэйхатиро","东乡平八郎",""
"УДАР Виталия Кличко","乌克兰民主改革联盟",""
"Узакбай Караманов","乌扎克拜·卡拉马诺夫",""
"Александр Ведерников","亚历山大·亚历山德罗维奇·韦杰尔尼科夫",""
"Александр Некрасов","亚历山大·伊万诺维奇·涅克拉索夫",""
"Александр Зиновьев","亚历山大·季诺维也夫",""
"Иван Калин","伊万·卡林",""
"Соглашение об урегулировании кризиса в Украине","关于解决乌克兰政治危机的协议",""
"Лев Толстой","列夫·托尔斯泰",""
"Карл Брюллов","卡尔·布留洛夫",""
"Евгений Бармянцев","叶夫根尼·巴尔米扬采夫",""
"Елена Шушунова","叶连娜·舒舒诺娃",""
"Президент Линкольн: Охотник на вампиров","吸血鬼猎人林肯 (电影)",""
"Елена Мухина","埃琳娜·穆希娜",""
"Наталья Мишкутёнок","娜塔莉娅·米什库特诺科",""
"Юлия Навальная","尤利娅·纳瓦利纳娅",""
"Николай Дружинин","尼古拉·德鲁日宁",""
"Николай Щеглов","尼古拉·谢格洛夫",""
"Николай Авхимович","尼古拉·阿夫希莫维奇",""
"Константин I (король Греции)","康斯坦丁一世 (希腊)",""
"Владимир Лебедев","弗拉基米尔·列别杰夫",""
"Владимир Овчинников","弗拉基米尔·伊万诺维奇·奥夫钦尼科夫",""
"Пётр Шмидт","彼得·施密特",""
"Эрнст I Саксен-Альтенбургский","恩斯特一世 (萨克森-阿尔滕堡)",""
"Токтар Аубакиров","托克塔尔·奥巴基罗夫",""
"Комиссар (в воинском подразделении)","政治委员",""
"Новая жизнь (1917—1918)","新生活报",""
"Манфред (симфония)","曼费德交响曲",""
"Георгий Лангемак","格奥尔基·朗格马克",""
"Гебхард Блюхер","格布哈德·莱贝雷希特·冯·布吕歇尔",""
"Григорий Скориков","格里戈里·斯科里科夫",""
"Василий Циблиев","瓦西里·齐布利耶夫",""
"Дом Турбиных","米哈伊尔·布尔加科夫博物馆",""
"Михаил Лашевич","米哈伊尔·拉舍维奇",""
"Миржакип Дулатов","米尔冉吉普·杜拉托夫",""
"Виктор Иваненко","维克托·伊万年科",""
"Виталий Масол","维塔利·马索尔",""
"Генералиссимус Советского Союза","苏联大元帅",""
"Саак Карапетян","萨克·卡拉佩强",""
"Сапармурат Ниязов","萨帕尔穆拉特·尼亚佐夫",""
"Сергей Демидов","谢尔盖·德米多夫",""
"Сергей Лавров","谢尔盖·拉夫罗夫",""
"Сергей Филатов","谢尔盖·菲拉托夫",""
"Фёдор Бровко","费奥多尔·布罗夫科",""
"14-я гвардейская общевойсковая армия","近卫第14集团军",""
"Анатолий Добрынин","阿纳托利·多勃雷宁",""
"Александр Герасименко","亚历山大·格拉西缅科",""
"Яна Лебедева","亚娜·列别杰娃",""
"Первое правительство Яценюка","亚采纽克第一届内阁",""
"Илья Ульянов","伊利亚·乌里扬诺夫",""
"Елизавета Куличкова","伊莉莎白·库利奇科娃",""
"Эхсан Нахичеванский","伊赫桑·汗·纳希切万斯基",""
"Российско-украинская война","俄乌战争",""
"Акты президента России","俄罗斯联邦总统令",""
"Камилла Рахимова","卡米拉·拉希莫娃",""
"Екатерина Стенякина","叶卡捷琳娜·斯捷尼亚金娜",""
"Эрнест Бо","埃内斯特·博",""
"Олег Янковский","奥列格·扬科夫斯基",""
"Натали (певица)","娜塔莉 (俄罗斯歌手)",""
"Юрий Гольфанд","尤里·高尔方德",""
"Николай Янсон","尼古拉·杨松",""
"Николай Рузский","尼古拉·鲁兹斯基",""
"Чхве Кван","崔光 (1918年)",""
"Бруно Саул","布鲁诺·绍尔",""
"Паша Техник","帕夏技术",""
"Павел Виноградов","帕维尔·维诺格拉多夫",""
"Константин Грушевой","康斯坦丁·格鲁舍沃伊",""
"Владимир Фаворский","弗拉基米尔·安德烈耶维奇·法沃尔斯基",""
"Владимир Пашков","弗拉基米尔·帕什科夫",""
"Владимир Трошин","弗拉基米尔·特罗申",""
"Владимир Назлымов","弗拉基米尔·纳兹雷莫夫",""
"Владимир Щербицкий","弗拉基米尔·谢尔比茨基",""
"Пётр Нестеров","彼得·涅斯捷罗夫",""
"Дмитрий Курский","德米特里·库尔斯基",""
"Светлана Медведева","斯韦特兰娜·梅德韦杰娃",""
"2019) Вторжение (фильм","末日异战",""
"Международный конкурс имени П. И. Чайковского","柴可夫斯基国际音乐比赛",""
"Геннадий Жидко","根纳季·日德科",""
"Василий Иванов","瓦西里·伊万诺夫",""
"Василий Вахрушев","瓦西里·瓦赫鲁舍夫",""
"Йосип Елачич","约西普·耶拉契奇",""
"Виктор Соболев","维克托·伊万诺维奇·索博列夫",""
"Вера Мухина","维拉·穆欣娜",""
"Самуил Маршак","萨穆伊尔·马尔夏克",""
"Сергей Бубка","谢尔盖·纳扎罗维奇·布卡",""
"Сергей Круглов","谢尔盖·克鲁格洛夫",""
"Семён Гендин","谢苗·根金",""
"Фёдор Полынин","费多尔·波雷宁",""
"Алексей Беспаликов","阿列克谢·别斯帕利科夫",""
"Алексей Судаев","阿列克谢·苏达耶夫",""
"Анита Цой","阿妮塔·崔",""
"Алёна Аршинова","阿廖娜·阿尔希诺娃",""
"Анатолий Костенко","阿纳托利·科斯坚科",""
"Марат Сафин","马拉特·萨芬",""
"Иван Селифонов","伊万·谢利福诺夫",""
"Иван Ведерников","伊万·韦杰尔尼科夫",""
"Ираклий Церетели","伊拉克利·策烈铁里",""
"Мария Николаевна (великая княжна)","俄罗斯的玛丽亚·尼古拉耶芙娜女大公 (1899年—1918年)",""
"Ксения Раппопорт","克谢尼娅·拉波波尔特",""
"Зоя Космодемьянская","卓娅·科斯莫杰米扬斯卡娅",""
"Франкофония (фильм)","占领下的卢浮宫",""
"Катерина Тихонова","卡捷琳娜·吉洪诺娃",""
"Евгений Драгунов","叶夫根尼·德拉贡诺夫",""
"Кирилл Мерецков","基里尔·梅列茨科夫",""
"Наина Ельцина","奈娜·叶利钦娜",""
"Август Восс","奥古斯特·沃斯",""
"Андрей Белый","安德烈·别雷",""
"Андрей Тихонов","安德烈·吉洪诺夫",""
"Юрий Мищеряков","尤里·米谢里亚科夫",""
"Николай Байбаков","尼古拉·巴伊巴科夫",""
"Николай Бухарин","尼古拉·布哈林",""
"Николай Дудоров","尼古拉·杜多罗夫",""
"Владимир Емельянов","弗拉基米尔·叶梅利亚诺夫",""
"Владимир Голубничий","弗拉基米尔·戈卢布尼奇",""
"Влада Рослякова","弗拉达·洛丝亚珂娃",""
"Дзидра Ритенберга","德琪德拉·里腾贝加",""
"Фернанду II","斐迪南二世 (葡萄牙)",""
"Станислав Шушкевич","斯坦尼斯拉夫·舒什克维奇",""
"Светлана Чимрова","斯韦特兰娜·奇姆罗娃",""
"Чжу Жанчэн","朱穰丞",""
"Зинаида Кириенко","济娜伊达·基里延科",""
"Банзаржавын Басанжав","班扎尔扎布·巴桑扎布",""
"Вальтер Кривицкий","瓦尔特·克里维茨基",""
"Василий Лебедев-Кумач","瓦西里·列别捷夫-库马奇",""
"Василий Андрианов","瓦西里·安德里亚诺夫",""
"Валентин Серов","瓦连京·谢罗夫",""
"Моисей Вайнберг","米奇斯瓦夫·魏因贝格",""
"Вячеслав Воробьёв","维亚切斯拉夫·沃罗比约夫",""
"Виктор Кравченко","维克托·彼得罗维奇·克拉夫琴科",""
"Вице-президент СССР","苏联副总统",""
"Сергей Павлов","谢尔盖·帕夫洛夫",""
"Семён Богатырёв","谢苗·博加特廖夫",""
"Алексей Уланов","阿列克谢·乌拉诺夫",""
"Алина Кабаева","阿林娜·卡巴耶娃",""
"Анатолий Богданов","阿纳托利·波格丹诺夫",""
"Чэнь Лэй (1917)","陈雷 (1917年)",""
"Руслана Коршунова","露丝拉娜·寇舒诺娃",""
"Война в Донбассе (2014—2022)","顿巴斯战争",""
"Махамбет Утемисов","马赫姆别特·奥特米苏里",""
"Борис Давыдов","鲍里斯·利沃维奇·达维多夫",""
"Борис Фёдоров","鲍里斯·格里戈里耶维奇·费奥多罗夫",""
"Георг I (король Греции)","乔治一世 (希腊)",""
"Александр Романьков","亚历山大·罗曼科夫",""
"Александр Попов","亚历山大·弗拉基米罗维奇·波波夫",""
"Александр Алябьев","亚历山大·阿利亚比耶夫",""
"Ирина Филатова","伊琳娜·菲拉托娃",""
"Исаак Дунаевский","伊萨克·杜纳耶夫斯基",""
"Павел Александрович","俄罗斯的保罗·亚历山德罗维奇大公",""
"Жерар Депардьё","杰哈·德巴狄厄",""
"Лев Лещенко","列夫·列先科",""
"Лев Ландау","列夫·朗道",""
"Леонид Кравчук","列昂尼德·克拉夫丘克",""
"Гасан Сеидов","哈桑·赛义多夫",""
"Осман Акчокраклы","奥斯曼·阿克焦克拉克勒",""
"Уильям Гомм","威廉·梅纳德·戈姆",""
"Анна Блинкова","安娜·布林科娃",""
"Антон Ельчин","安东·叶尔钦",""
"(1772) Гагарин","小行星1772",""
"Юрий Плеханов","尤里·普列汉诺夫",""
"Юрий Сисикин","尤里·西西金",""
"Юрий Трутнев","尤里·阿列克谢耶维奇·特鲁特涅夫",""
"Владимир Блоцкий","弗拉基米尔·布洛茨基",""
"Владимир Константинов","弗拉基米尔·费奥多罗维奇·康斯坦丁诺夫",""
"Владимир Васильев","弗拉基米尔·阿列克谢耶维奇·瓦西里耶夫",""
"Владислав Басков","弗拉迪斯拉夫·巴斯科夫",""
"Франц Иосиф I","弗朗茨·约瑟夫一世",""
"Дмитрий Паперно","德米特罗·帕佩尔诺",""
"Дмитрий Егоров","德米特里·叶戈罗夫",""
"Дмитрий Медведев","德米特里·梅德韦杰夫",""
"Дмитрий Хворостовский","德米特里·赫沃罗斯托夫斯基",""
"Гоша Рубчинский","戈沙·鲁布钦斯基",""
"Спиридон Путин","斯皮里东·普京",""
"Адальберт Прусский","普鲁士的阿达尔贝特王子 (1811年—1873年)",""
"Эномото Такэаки","榎本武扬",""
"Эдвард Радзинский","爱德华·拉德金斯基",""
"Александр Вюртембергский (1771—1833)","符腾堡的亚历山大 (1771年)",""
"Михаил Ненашев","米哈伊尔·涅纳舍夫",""
"Вячеслав Чуканов","维亚切斯拉夫·丘卡诺夫",""
"Роберт Ханссен","罗伯特·汉森",""
"Эдуард Успенский","艾杜瓦德·乌斯宾斯基",""
"Союз писателей СССР","苏联作家协会",""
"Людвиг Фаддеев","路德维希·法捷耶夫",""
"Коноэ Фумитака","近卫文隆",""
"Алексей Гордеев","阿列克谢·戈尔杰耶夫",""
"Алексей Мюрисепп","阿列克谢·缪里谢普",""
"Аскар Закарин","阿斯卡尔·扎卡林",""
"Анатолий Сердюков","阿纳托利·谢尔久科夫",""
"Михаил Чехов","麦可·契诃夫",""
"1812 год (увертюра)","1812序曲",""
"Референдум о восстановлении независимости Грузии","1991年乔治亚独立公投",""
"Референдум о суверенитете Татарстана (1992)","1992年鞑靼斯坦主权公投",""
"Денис Капустин","丹尼斯·尼基京",""
"Александр Литовченко","亚历山大·利托夫琴科",""
"Александр Наумов","亚历山大·尼古拉耶维奇·瑙莫夫",""
"Александр Мин","亚历山大·闵",""
"Адам Атаман","亚当·阿塔曼",""
"Ярослав Михайлов","亚罗斯拉夫·米哈伊洛夫",""
"Иван Лепсе","伊万·列普谢",""
"Иван Белеков","伊万·别列科夫",""
"Илья Мусин","伊利亚·亚历山德罗维奇·穆辛",""
"Иван Фёдоров","伊万·费多罗夫",""
"Исидор Натансон","伊西多尔·保罗维奇·那汤松",""
"Карл Вайно","卡尔·瓦伊诺",""
"Екатерина Брешко-Брешковская","叶卡捷琳娜·布列什科-布列什科夫斯卡娅",""
"Евгений Попов","叶夫根尼·格奥尔基耶维奇·波波夫",""
"Хамза Хакимзаде Ниязи","哈姆扎·哈基姆扎德·尼亚兹",""
"Хамракул Турсункулов","哈姆拉库尔·图尔松库洛夫",""
"Эрика Андреева","埃丽卡·安德烈耶娃",""
"Мастер и Маргарита","大师与玛格丽特",""
"Анастасия Павлюченкова","安娜斯塔西亚·帕夫柳琴科娃",""
"Андрей Сахаров","安德烈·萨哈罗夫",""
"Юлия Волкова","尤莉亚·欧列伽芙娜·沃尔科娃",""
"Николай Шаталин","尼古拉·沙塔林",""
"Никита Толубеев","尼基塔·托卢别耶夫",""
"Владимир Некляев","弗拉基米尔·涅克利亚耶夫",""
"Владимир Ковалёнок","弗拉基米尔·科瓦廖诺克",""
"Владимир Сосновский","弗拉基米尔·索斯诺夫斯基",""
"Владимир Аксёнов","弗拉基米尔·阿克肖诺夫",""
"Всеволод Мураховский","弗谢沃洛德·穆拉霍夫斯基",""
"Пётр Демичев","彼得·杰米契夫",""
"Ли Ыль Соль","李乙雪",""
"Хертек Анчимаа-Тока","柯特克·安吉玛-托卡",""
"Оксана Яблонская","欧萨娜·雅布隆斯卡亚",""
"Мари Краймбрери","玛丽·克赖因布列丽",""
"Михаил Скопин-Шуйский","米哈伊尔·斯科平-舒伊斯基",""
"Михаил Шулейкин","米哈伊尔·瓦西里耶维奇·舒莱金",""
"Михаил Ан","米哈伊尔·安",""
"Наталья Костенко","纳塔利娅·科斯坚科",""
"Вячеслав Дамдинцурунов","维亚切斯拉夫·达姆金楚鲁诺夫",""
"Роман Розен","罗曼·罗森",""
"Александр Зверев","老亚历山大·兹韦列夫",""
"Айна Султанова","艾娜·苏尔塔诺娃",""
"Елена Веснина","叶连娜·韦斯宁娜",""
"Сергей Безруков","谢尔盖·别兹鲁科夫",""
"Фёдор Мацейлик","费奥多尔·马采伊利克",""
"Анатолий Рощин","阿纳托利·罗希钦",""
"Александр Витко","亚历山大·维特科",""
"Александр Мокану","亚历山大·莫卡努",""
"Иван Мусатов","伊万·穆萨托夫",""
"Иероним Уборевич","伊耶罗尼姆·乌博列维奇",""
"Климент Ворошилов","克利缅特·伏罗希洛夫",""
"Лев Толкунов","列夫·托尔库诺夫",""
"Елена Катина","列娜·谢尔盖耶芙娜·卡其娜",""
"Политическая оппозиция в Российской Федерации","反普京运动",""
"Екатерина Веденеева","叶卡捷琳娜·韦杰涅耶娃",""
"Евгений Маслин","叶夫根尼·马斯林",""
"Евгения Чикунова","叶夫根尼娅·奇库诺娃",""
"Олег Лужный","奥列格·卢日内",""
"Наталья Водянова","娜塔莉亚·沃迪亚诺娃",""
"Наталия Гутман","娜塔莉娅·古特曼",""
"Николай Линевич","尼古拉·连纳维奇",""
"Николай Алексеенко","尼古拉·阿列克谢延科",""
"Нина Живаневская","尼娜·日瓦涅夫斯卡娅",""
"Владимир Илюхин","弗拉基米尔·伊柳欣",""
"Владимир Дудинцев","弗拉基米尔·杜金采夫",""
"Всеволод Овчинников","弗谢沃洛德·奥夫钦尼科夫",""
"Людмила Шагалова","柳德米拉·莎加洛娃",""
"Геннадий Ракитин","根纳季·拉基京",""
"Франц I (князь Лихтенштейна)","法兰兹一世 (列支敦斯登)",""
"Марина Раскова","玛丽娜·拉斯科娃",""
"Валерия Новодворская","瓦列莉亚·诺沃德沃尔斯卡娅",""
"Ваха Агаев","瓦哈·阿加耶夫",""
"Магомед Гаджиев","穆罕默德·塔茹季诺维奇·哈吉耶夫",""
"Магомедсалам Магомедов","穆罕默德萨拉姆·穆罕默多夫",""
"Виктор Ермаков","维克托·叶尔马科夫",""
"Виктор Суворов","维克托·苏沃罗夫",""
"Роман Лябихов","罗曼·利亚比霍夫",""
"Алиса Фрейндлих","艾莉莎·弗雷德里赫",""
"Евгений Абалаков","叶夫根尼·阿巴拉科夫",""
"Жанна Рябцева","詹娜·里亚布采娃",""
"Сергей Юшенков","谢尔盖·尤申科夫",""
"Сергей Гоглидзе","谢尔盖·戈格利泽",""
"Сайгидпаша Умаханов","赛吉德帕夏·乌马哈诺夫",""
"Алексей Берест","阿列克谢·别列斯特",""
"Альфред Рубикс","阿尔弗雷德·鲁比克斯",""
"Анатолий Лесун","阿纳托利·列松",""
"Анатолий Ведерников","阿纳托利·韦杰尔尼科夫",""
"Ариф Алимов","阿里夫·阿利莫夫",""
"Яков Зельдович","雅科夫·泽尔多维奇",""
"Аоки Сюдзо","青木周藏",""
"Борис Пастернак","鲍里斯·巴斯特纳克",""
"Борис Иогансон","鲍里斯·约干松",""
"Экономический кризис в России (1998)","1998年俄罗斯金融危机",""
"Александр Грибоедов","亚历山大·格里鲍耶陀夫",""
"Александр Шумский","亚历山大·舒姆斯基",""
"Александр Фридман","亚历山大·弗里德曼",""
"Александр Сумароков","亚历山大·苏马罗科夫",""
"Иван Рультытегин","伊万·鲁利特捷金",""
"Игорь Пресняков","伊戈尔·普列斯尼亚科夫",""
"Исса Плиев","伊萨·普利耶夫",""
"Иван Середа","伊万·帕夫洛维奇·塞列达",""
"Лев Ревуцкий","列夫科·列武茨基",""
"Леонид Красин","列昂尼德·克拉辛",""
"Нам Ир","南日",""
"Кабдеш Жумадилов","卡布德什·朱马迪洛夫",""
"Екатерина Яшина","叶卡捷琳娜·亚申娜",""
"Олег Гордиевский","奥列格·戈尔季耶夫斯基",""
"Ольга Коробова","奥莉加·科罗博娃",""
"Анна Нутэтэгрынэ","安娜·努泰泰格雷内",""
"Андрей Марков","安德烈·帕夫洛维奇·马尔科夫",""
"Юлиан Скрябин","尤利安·斯克里亚宾",""
"Юрий Башкатов","尤里·巴斯卡托夫",""
"Юрий Напсо","尤里·纳普索",""
"Николай Черных","尼古拉·切尔尼赫",""
"Николай Бурляев","尼古拉·布尔利亚耶夫",""
"Нина Хрущёва","尼娜·利沃芙娜·赫鲁晓娃",""
"Павел Полубояров","帕维尔·波卢博亚罗夫",""
"Владимир Потанин","弗拉基米尔·波塔宁",""
"Владимир Сипягин","弗拉基米尔·西皮亚金",""
"Пётр Никифоров","彼得·尼基福罗夫",""
"Дзюн Усироку","后宫淳",""
"Жарко Броз","扎尔科·布罗兹",""
"Яан Тыниссон","扬·托尼松",""
"Георгий Флёров","格奥尔基·弗廖罗夫",""
"Марина Беспалова","玛丽娜·别斯帕洛娃",""
"Мария Клёнова","玛利亚·克列诺娃",""
"Марина Цветаева","玛琳娜·茨维塔耶娃",""
"Василий Стус","瓦西里·斯图斯",""
"Виктор Геращенко","维克托·格拉先科",""
"Народный художник СССР","苏联人民画家",""
"Договор о мире и принципах взаимоотношений между РФ и ЧРИ","莫斯科和约 (1997年)",""
"Сергей Крикалёв","谢尔盖·克里卡廖夫",""
"2016) Бен-Гур (фильм","宾汉 (2016年电影)",""
"Фёдор Шаляпин","费多尔·夏里亚宾",""
"Джабар Расулов","贾巴尔·拉苏洛夫",""
"Алексей Канаев","阿列克谢·卡纳耶夫",""
"Артём Сергеев","阿尔乔姆·费奥多罗维奇·谢尔盖耶夫",""
"Анастас Микоян","阿纳斯塔斯·米高扬",""
"Рудольф Местр","鲁道夫·德·迈斯特",""
"Заявление о прекращении огня в Нагорном Карабахе (2020)","2020年纳戈尔诺-卡拉巴赫停火协议",""
"Узеир Гаджибеков","乌泽伊尔·哈吉贝约夫",""
"Александр Косарев","亚历山大·科萨列夫",""
"Александра Соколовская","亚历山德拉·索科洛夫斯卡娅",""
"Александр Куприн","亚历山大·伊凡诺维奇·库普林",""
"Александр Извольский","亚历山大·伊兹沃利斯基",""
"Илзе Лиепа","伊尔泽·利耶帕",""
"Игорь Антропенко","伊戈尔·安特罗片科",""
"Игорь Ананских","伊戈尔·阿南斯基赫",""
"погибших Список российских генералов","俄罗斯入侵乌克兰期间阵亡的俄罗斯将军列表",""
"Лев Гудков","列夫·古德科夫",""
"Леонид Абалкин","列昂尼德·阿巴尔金",""
"Кямран Багиров","卡姆兰·巴吉罗夫",""
"Карл XIII","卡尔十三世",""
"Таджикистан","塔吉克斯坦",""
"Ольга Лепешинская","奥尔加·列佩申斯卡娅",""
"Андрей Картаполов","安德烈·卡尔塔波洛夫",""
"Юрий Кара","尤里·卡拉",""
"Николай Кубяк","尼古拉·库比雅克",""
"Павел Вирский","帕夫洛·维尔斯基",""
"Павел Крашенинников","帕维尔·克拉舍宁尼科夫",""
"Владимир Таиров","弗拉基米尔·赫里斯托福罗维奇·塔伊罗夫",""
"Владимир Горовиц","弗拉基米尔·霍罗威茨",""
"Владислав Егоров","弗拉季斯拉夫·叶戈罗夫",""
"Пётр Петровский","彼得·彼得罗夫斯基",""
"Славянский марш","斯拉夫进行曲",""
"Генрих Альтшуллер","根里奇·阿奇舒勒",""
"Григорий Шилкин","格里戈里·希尔金",""
"но Денег нет","没钱了，但你们要撑住",""
"Таисия Афонина","泰西娅·阿福宁娜",""
"Эдуард Россель","爱德华·罗塞尔",""
"Кира Муратова","琪拉·穆拉托娃",""
"Мария Ласицкене","玛丽亚·拉西茨克涅",""
"Договор о сокращении стратегических наступательных вооружений (СНВ-II)","第二阶段削减战略武器条约",""
"Михал Роля-Жимерский","米哈乌·罗拉-日梅尔斯基",""
"Елена Бовина","叶连娜·鲍文娜",""
"Сергей Прокудин-Горский","谢尔盖·普罗库金-戈尔斯基",""
"Нородом Сианук","诺罗敦·西哈努克",""
"Сергей Кириенко","谢尔盖·基里延科",""
"Сергей Иванов","谢尔盖·帕夫洛维奇·伊万诺夫",""
"Сергей Михайлов","谢尔盖·彼得罗维奇·米哈伊洛夫",""
"Сергей Бидонько","谢尔盖·比东科",""
"Фёдор Комаров","费奥多尔·科马罗夫",""
"2026) Казнить нельзя помиловать (фильм","关键公敌",""
"Алексий II","阿列克谢二世",""
"Абдыкаир Казакбаев","阿布迪凯尔·卡扎克巴耶夫",""
"Арам Саргсян","阿拉姆·加斯帕里·萨尔基相",""
"Алма-Атинская декларация (1991)","阿拉木图宣言 (1991年)",""
"Марлен Хуциев","马列·马丁诺维奇·胡齐耶夫",""
"Международная реакция на президентские выборы в России (2024)","2024年俄罗斯总统选举的国际反应",""
"Александр Спирин","亚历山大·斯皮林",""
"Александр Бовин","亚历山大·鲍文",""
"Иван Черняховский","伊万·切尔尼亚霍夫斯基",""
"Иван Владыченко","伊万·弗拉季琴科",""
"Илья Штильман","伊利亚·斯蒂尔曼",""
"Ибрагим Гасанбеков","伊布拉希姆·佳森别科夫",""
"Игорь Сергеев","伊戈尔·德米特里耶维奇·谢尔盖耶夫",""
"Ирина Скобцева","伊琳娜·斯科布采娃",""
"Ито Хиробуми","伊藤博文",""
"Союзное государство","俄白联盟国",""
"Кристиан X","克里斯蒂安十世",""
"Лев Овчинников","列夫·奥夫钦尼科夫",""
"Леонид Михельсон","列昂尼德·米赫尔松",""
"Люциан Желиговский","卢茨扬·泽利戈夫斯基",""
"Евгений Жуков","叶夫根尼·米哈伊洛维奇·茹科夫",""
"Тамара Карсавина","塔玛拉·卡萨维娜",""
"Олег Табаков","奥列格·塔巴科夫",""
"Олег Морозов","奥列格·斯拉维耶维奇·莫罗佐夫",""
"Юрий Газинский","尤里·加津斯基",""
"Николай Черкасов","尼古拉·切尔卡索夫",""
"Николай Булганин","尼古拉·布尔加宁",""
"Отке","帕夫拉·奥特克",""
"Всеволод Вишневский","弗谢沃洛德·维什涅夫斯基",""
"Степан Емельянов","斯捷潘·叶梅利亚诺夫",""
"Геннадий Стрекалов","根纳季·斯特列卡洛夫",""
"Григорий Кайданов","格雷戈里·凯达诺夫",""
"Зелимхан Муцоев","泽利姆汗·穆措耶夫",""
"Майдан Незалежности","独立广场 (基辅)",""
"Марина Оргеева","玛丽娜·奥尔格耶娃",""
"Ричард Косолапов","理查德·科索拉波夫",""
"Валентин Глушко","瓦连京·格鲁什科",""
"Хардкор (фильм)","硬核大战",""
"Муратбек Иманалиев","穆拉特别克·伊马纳利耶夫",""
"Михаил Таль","米哈伊尔·塔尔",""
"Михаил Сурков","米哈伊尔·苏尔科夫",""
"Виктор Гришин","维克托·格里申",""
"Виталий Костомаров","维塔利·科斯托马罗夫",""
"Айдар Метшин","艾达尔·梅特申",""
"Лина Красноруцкая","莉娜·克拉斯诺鲁茨卡娅",""
"Левко Лукьяненко","莱夫科·卢基亚嫩科",""
"Сардана Авксентьева","萨尔达娜·阿夫克先季耶娃",""
"Сергей Большаков","谢尔盖·博利沙科夫",""
"Алексей Бугаев","阿列克谢·布加耶夫",""
"Габдулла Тукай","阿布都拉·托哈依",""
"Борис Муев","鲍里斯·穆耶夫",""
"Александр Толмачёв","亚历山大·因诺肯季耶维奇·托尔马乔夫",""
"Александр Власов","亚历山大·弗拉索夫",""
"Александр Пятикоп","亚历山大·皮亚季科普",""
"Александра Антонова","亚历山德拉·安德烈耶芙娜·安东诺娃",""
"Александр Мацегора","亚历山大·马采戈拉",""
"Александр Бородин","亚历山大·鲍罗丁",""
"Иван Квитка","伊万·克维特卡",""
"Манфред Штерн","傅利德",""
"Ксения Чибисова","克谢尼娅·奇比索娃",""
"Маршал рода войск","军兵种元帅 (苏联)",""
"Кадыр Тимергазин","卡迪尔·吉姆盖金",""
"Егор Агарков","叶戈尔·阿加尔科夫",""
"Этель Джи","埃塞尔·吉",""
"Надежда Курченко","娜杰日达·库尔琴科",""
"Андрей Лавров","安德烈·拉夫罗夫",""
"Юрий Оганесян","尤里·奥加涅相",""
"Юрий Осипов","尤里·奥西波夫",""
"Николай Новиков","尼古拉·瓦西里耶维奇·诺维科夫",""
"Бруно Хабаров","布鲁诺·哈巴罗夫斯",""
"Владимир Новиков","弗拉基米尔·尼古拉耶维奇·诺维科夫",""
"Всеволод Балицкий","弗谢沃洛德·巴利茨基",""
"Беломорско-Балтийский канал имени Сталина (книга)","斯大林白海-波罗的海运河修建史",""
"Григорий Вержбицкий","格里戈里·韦尔日比茨基",""
"Вильгельм Мекленбургский","梅克伦堡-施威林的威廉",""
"В. Володарский","沃洛达尔斯基",""
"Полина Богусевич","波琳娜·博格塞维奇",""
"Эдуард Стрельцов","爱德华·斯特列尔佐夫",""
"Мария Спиридонова","玛丽亚·斯皮里多诺娃",""
"Валентина Пивненко","瓦莲京娜·皮夫年科",""
"Василий Власов","瓦西里·弗拉索夫",""
"Исии Кикудзиро","石井菊次郎",""
"Виктор Маслов","维克托·帕夫洛维奇·马斯洛夫",""
"Красная капелла","红色交响乐队",""
"Навальный (фильм)","纳瓦尔尼 (电影)",""
"Виктор Сидяк","维克托·西佳克",""
"Виталий Кушнарёв","维塔利·库什纳廖夫",""
"Сергей Нечаев","谢尔盖·尤里耶维奇·涅恰耶夫",""
"Серафим Богачёв","谢拉菲姆·博加乔夫",""
"Феликс Кулов","费利克斯·库洛夫",""
"Алексей Миранчук","阿列克谢·米兰丘克",""
"Алексей Ботян","阿列克谢·博强",""
"Абдулла Каххар","阿卜杜拉·卡哈尔",""
"Анатолий Матвиенко","阿纳托利·马特维延科",""
"Яков Петерс","雅科夫·彼得斯",""
"Марат Измайлов","马拉特·伊兹迈洛夫",""
"Александр Удовиченко","亚历山大·伊万诺维奇·乌多维琴科",""
"Александр Трояновский","亚历山大·特罗扬诺夫斯基",""
"Александр Цюрупа","亚历山大·瞿鲁巴",""
"Александр Назаров","亚历山大·维克托罗维奇·纳扎罗夫",""
"Александр Самсонов","亚历山大·萨姆索诺夫",""
"Илья Пономарёв","伊利亚·波诺马廖夫",""
"Игорь Иванов","伊戈尔·伊万诺夫",""
"Игорь Сечин","伊戈尔·谢钦",""
"Клавдия Николаева","克拉夫季娅·尼古拉耶娃",""
"Екатерина Дьяченко","叶卡捷琳娜·季亚琴科",""
"Екатерина Варнава","叶卡捷琳娜·瓦尔纳瓦",""
"Олег Саленко","奥列格·萨连科",""
"Ангелина Данилова","安吉丽娜·丹妮洛娃",""
"Анна Асти","安娜·阿斯蒂",""
"Николай Валуев","尼古拉·瓦卢耶夫",""
"Юридическая реабилитация (СССР)","平反 (苏联)",""
"Владимир Величко","弗拉基米尔·韦利奇科",""
"Дмитрий Лелюшенко","德米特里·列柳申科",""
"Дмитрий Бортнянский","德米特里·博尔特尼扬斯基",""
"Эрнст I (герцог Саксен-Кобург-Готский)","恩斯特一世 (萨克森-科堡-哥达公爵)",""
